# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Guanabara – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Grupo principal de canais da sessão (Grupo de Canais),Sessões,Total de usuários,Usuários recorrentes,Novos usuários,Transações,Receita total,Sessões engajadas,Taxa de engajamento,Eventos principais,Receita média diária,Contagem de eventos
Paid Search,15690083,7853114,2752835,7103237,1230227,233070766.914963,13553945,0.863854257495005,53852077,468013.5881826566,177033565
Organic Search,5394048,2589837,1557232,1167709,362197,67586352.130423,4131129,0.7658680456681142,15087143,135715.5665269538,46088799
Direct,4743192,2076677,638661,1875079,621813,114597112.769994,3277512,0.6909929009831354,9182399,225141.67538309234,37917539
Cross-network,2954957,1893986,525913,1555421,99495,20463343.969403,1925897,0.6517512775989633,6225975,41091.05214739558,20863799
Mobile Push Notifications,1203017,415818,230032,91642,24786,5093419.879839,409461,0.34036177377377047,1549720,10227.750762728916,4782318
Organic Social,459186,256580,90951,197850,111444,20023412.999348,351399,0.765265055990383,897140,40207.65662519678,3498016
Paid,346772,230473,98041,155147,29166,4565886.580105,282972,0.8160174408545096,1232193,415080.5981913636,5774115
Unassigned,258114,209794,95527,71996,28853,6193866.109714,118469,0.45897936570662573,658856,12168.695696884086,2683974
Referral,141016,69623,29449,45134,9977,2295109.669734,99493,0.7055440517388097,379141,4509.056325607073,1425416
Paid Social,129566,99393,12246,93995,1109,209616.67001,51256,0.395597610484232,150056,505.1004096626506,576063
Orgânico,91015,56231,38136,16471,6020,942068.499989,68022,0.7473713124210295,262481,85642.59090809092,1085682
Email,42469,25166,8065,18531,2740,508089.549941,27270,0.6421154253690927,99715,1020.2601404437751,343545
CRM,33025,22115,6743,6305,2106,439639.17998,9951,0.3013171839515519,57369,39967.19818,218336
Organic Video,11362,7497,3303,2933,224,29615.319969,6307,0.5550959338144693,22531,59.708306389112906,70349
Display,6023,3731,1444,1299,214,25177.90001,2105,0.34949360783662625,8772,70.3293296368715,25376
Social Orgânico,3769,2963,680,2513,215,39321.740013,3159,0.8381533563279384,12691,3574.7036375454545,63038
Paid Video,3572,2599,1505,490,104,14046.849995,2056,0.5755879059350504,6541,55.08568625490196,16200
Not set,1326,1200,782,241,117,20564.229996,332,0.25037707390648567,2985,1869.4754541818183,17208
Paid Other,1019,606,109,532,1,163.95,305,0.29931305201177627,1033,8.628947368421054,4566
Organic Shopping,191,109,41,88,7,609.820003,105,0.5497382198952879,375,5.167966127118644,1202
Affiliates,48,27,8,24,1,932.569998,38,0.7916666666666666,96,33.306071357142855,433
