# ----------------------------------------
# Tráfego SEO
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Guanabara – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Origem / mídia da sessão,Sessões,Novos usuários,Usuários recorrentes,Total de usuários,Transações,Receita total,Taxa de engajamento,Taxa de rejeição,Tempo médio de engajamento por sessão
google / organic,5241616,1110468,1548675,2553210,347143,63329442.440679,0.7640279257389324,0.2359720742610676,98.3160552012967
bing / organic,124079,44547,28487,59688,15103,3693726.980026,0.823257763199252,0.1767422368007479,279.8067602092215
duckduckgo / organic,3173,1229,699,1600,322,77189.489951,0.7973526630948629,0.2026473369051371,173.24078159470534
chatgpt.com / referral,2779,1150,710,1609,199,68815.709991,0.7380352644836272,0.2619647355163728,191.31810003598417
ecosia.org / organic,1915,704,404,869,203,52019.889988,0.7921671018276762,0.20783289817232375,168.61566579634464
chatgpt.com / (not set),1541,943,313,1168,94,27361.439971,0.7319922128487995,0.2680077871512005,117.19273199221284
yahoo / organic,745,359,176,462,80,21076.570004,0.7463087248322148,0.2536912751677852,251.703355704698
gemini.google.com / referral,573,316,143,395,38,14340.889993,0.7678883071553229,0.23211169284467714,245.25130890052355
yandex / organic,156,66,39,84,7,1990.22,0.7948717948717948,0.20512820512820512,129.97435897435898
copilot.microsoft.com / referral,66,38,19,46,1,129.929998,0.7272727272727273,0.2727272727272727,188.56060606060606
perplexity / (not set),56,39,8,42,1,279.28,0.875,0.125,149.42857142857142
copilot.com / (not set),18,8,7,13,0,0,0.5555555555555556,0.4444444444444444,65.72222222222223
copilot.com / referral,6,6,0,6,0,0,1,0,294.5
claude.ai / referral,3,2,1,2,0,0,0.3333333333333333,0.6666666666666666,2.6666666666666665
chatgpt.com / (none),2,0,0,2,0,0,1,0,897.5
l.meta.ai / referral,1,1,0,1,0,0,1,0,747
