# ----------------------------------------
# Transações: ID da Transação
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Guanabara – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
ID da Transação,Origem / mídia da sessão,Compras de e-commerce,Receita de compra,Sessões
(not set),google / cpc,182450,30478168.609173,18845329
(not set),(direct) / (none),87199,14841468.709925,4743192
(not set),google / organic,46234,7807368.029711,5241616
(not set),whatsapp / bot,13633,2659467.730189,250790
(not set),pushnews / pushnotification,2897,498749.509948,1075596
(not set),(not set),2076,445408.580007,92407
(not set),bing / organic,2453,440123.41004,124079
(not set),expressoguanabara.com.br / referral,1431,215210.869979,12733
(not set),br.search.yahoo.com / referral,652,148350.119952,27984
(not set),l.wl.co / referral,525,104646.969943,33599
(not set),bing / cpc,228,58745.860005,3713
(not set),mkt-midia / social,183,54484.090029,59673
(not set),pontos.livelo.com.br / referral,162,51758.459984,1051
(not set),mkt-midia / blog,252,35874.799986,17876
(not set),app.tallos.com.br / referral,89,35120.590016,10774
(not set),util.com.br / referral,212,32253.059973,2476
(not set),salesforce / email,197,27605.689974,1339
(not set),insider / insite,658,23364.300014,27472
1DJJWR,google / cpc,1,20129.7,1
(not set),whatsapp / assisted_sell,75,18909.479973,1002
(not set),outlook.live.com / referral,71,17168.219998,4737
(not set),ntp.msn.com / referral,65,14357.24,4712
(not set),google / maps,76,14230.469989,25933
1BSDHE,google / cpc,1,10799.879997,1
1G445U,google / organic,1,9847.200001,1
1F4SCD,google / organic,1,9668.160001,1
1A8QJY,newsun.bitrix24.com.br / referral,1,9159.22,1
(not set),buscaonibus.com.br / referral,34,9089.340001,793
1FJ37K,google / cpc,1,8941.649998,1
(not set),desk.zoho.com / referral,52,8535.070002,4957
1HNWMX,(direct) / (none),1,8400,1
1B969B,google / cpc,1,7988.300002,1
(not set),zoho / email,43,7686.589992,14692
1G80H8,google / cpc,1,7639.020002,1
1FG9JX,bing / organic,1,7475.960002,1
(not set),ecosia.org / organic,31,7342.669988,1915
(not set),livelo.com.br / referral,36,7153.890017,221
1JJF9C,(direct) / (none),1,7111.860001,1
(not set),mail.google.com / referral,44,6974.579973,4084
(not set),duckduckgo / organic,38,6840.549976,3173
1FD1Z1,(direct) / (none),1,6773.899998,1
1BTUMQ,google / cpc,1,6771.420001,1
1C38J2,(direct) / (none),1,6720,1
1JG1MX,(direct) / (none),1,6603.869999,1
(not set),insider / architect_whatsapp,77,6488.860004,30015
1JWR8E,pushnews / pushnotification,1,6401.889998,1
1FK34C,pushnews / pushnotification,1,6119.919998,1
19X57D,google / cpc,1,6099.679999,1
1JCFR4,google / cpc,1,5821.1,1
1FKKGQ,(direct) / (none),1,5814.95,1
1ANQR9,(direct) / (none),1,5807.609998,1
1K77QA,google / cpc,1,5645.939998,1
1E84VM,google / cpc,1,5634.360001,1
1ESRQ5,google / cpc,1,5614.050002,1
(not set),insider / architect_email,62,5523.970015,63504
1DD60R,(direct) / (none),1,5505.249998,1
1DD9UT,(direct) / (none),1,5505.249998,1
1BKBBD,google / cpc,1,5490.660001,1
190FR0,whatsapp / bot,1,5468.479998,1
1B2RW4,bing / organic,1,5443.259999,1
(not set),realexpresso.com.br / referral,28,5429.210017,833
1BZG64,br.search.yahoo.com / referral,1,5413.920001,1
1GGSVH,(direct) / (none),1,5393.940001,1
1EH39Z,(direct) / (none),1,5390.280002,1
1BN6BD,google / cpc,1,5376.190001,1
1C398F,(direct) / (none),1,5354.999998,1
1H1Y3R,(direct) / (none),1,5342.100001,1
1FC61H,google / organic,1,5336.939998,1
1FC6QZ,google / organic,1,5336.939998,1
1CZB0M,(direct) / (none),1,5330.34,1
1FPFKF,google / cpc,1,5283.849999,1
1FVC3G,google / cpc,1,5244.640002,1
1F4MGP,google / cpc,1,5243.639999,1
1BUP7A,(direct) / (none),1,5154.000002,1
1GK4MY,google / cpc,1,5134.019997,1
1GK58D,google / cpc,1,5134.019997,1
1EBWGN,(direct) / (none),1,5077.259999,1
1GXVMW,google / cpc,1,5056.149998,1
1FZKQD,insider / architect_email,1,5040.119998,1
1EAURX,google / organic,1,5039.550001,1
1BJ65M,(direct) / (none),1,5009.280002,1
18PQXD,(direct) / (none),1,5000,1
1CCAVR,(direct) / (none),1,4965.699998,1
1CCBRY,(direct) / (none),1,4965.699998,1
1E00HH,whatsapp / bot,1,4930.5,1
1E03GZ,whatsapp / bot,1,4930.5,1
1DVR8S,google / cpc,1,4930.139998,1
1A0AV1,(direct) / (none),1,4927.500002,1
1EXJMM,google / cpc,1,4920.72,1
1HZXEW,google / cpc,1,4909.450002,1
18FS5F,google / cpc,1,4891.89,1
1CMRP0,(direct) / (none),1,4890.000002,1
1DM37B,google / organic,1,4877.219999,1
1EEV8V,google / cpc,1,4818.269999,1
1CFEEU,google / cpc,1,4803.839999,1
1F8A4K,(direct) / (none),1,4797.029999,1
1DSRSG,pushnews / pushnotification,1,4787.819998,1
