# ----------------------------------------
# Tráfego SEO
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Guanabara – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260101
# Data de término: 20260524
Origem / mídia da sessão,Sessões,Novos usuários,Usuários recorrentes,Total de usuários,Transações,Receita total,Taxa de engajamento,Taxa de rejeição,Tempo médio de engajamento por sessão
google / organic,1366382,311681,457122,752886,93712,16331304.920185,0.7700496640031851,0.22995033599681494,97.69238177903398
bing / organic,39703,14609,9932,19906,5545,1188100.679889,0.8178223308062363,0.18217766919376369,284.6982847643755
duckduckgo / organic,1090,408,229,529,129,29121.42999,0.7752293577981652,0.22477064220183487,187.80183486238533
chatgpt.com / referral,970,447,252,600,88,29247.509994,0.7505154639175258,0.24948453608247423,192.4958762886598
chatgpt.com / (not set),834,542,159,657,45,13226.369992,0.7398081534772182,0.26019184652278177,106.39088729016787
ecosia.org / organic,662,278,137,337,61,15886.830002,0.7900302114803626,0.20996978851963746,144.9546827794562
gemini.google.com / referral,415,233,94,283,34,11945.109994,0.7855421686746988,0.21445783132530122,275.61686746987954
yahoo / organic,227,104,61,142,31,7390.699986,0.8149779735682819,0.18502202643171806,314.1541850220264
yandex / organic,50,26,13,35,1,618.890001,0.78,0.22,134.84
perplexity / (not set),27,17,6,19,1,279.28,0.8518518518518519,0.14814814814814814,145.4814814814815
copilot.com / (not set),12,6,4,8,0,0,0.5,0.5,18.666666666666668
copilot.microsoft.com / referral,10,5,3,6,0,0,0.5,0.5,105.5
copilot.com / referral,6,6,0,6,0,0,1,0,294.5
l.meta.ai / referral,1,1,0,1,0,0,1,0,747

# Todos os usuários
# Data de início: 20250101
# Data de término: 20250524
Origem / mídia da sessão,Sessões,Novos usuários,Usuários recorrentes,Total de usuários,Transações,Receita total,Taxa de engajamento,Taxa de rejeição,Tempo médio de engajamento por sessão
google / organic,1515928,327121,452526,737208,103734,18823567.43979,0.7690411417956525,0.23095885820434744,103.48172142740289
bing / organic,28276,9922,7808,15085,3378,842061.219998,0.7991582967887961,0.20084170321120384,279.4174565002122
duckduckgo / organic,745,281,180,403,71,16596.95997,0.8026845637583893,0.19731543624161074,170.51275167785235
chatgpt.com / referral,609,203,146,303,35,9156.32,0.7274220032840722,0.27257799671592775,161.01149425287358
chatgpt.com / (not set),134,64,35,91,6,1101.789998,0.6044776119402985,0.39552238805970147,82.20149253731343
ecosia.org / organic,507,176,135,248,58,18413.649995,0.7988165680473372,0.20118343195266272,186.27218934911244
gemini.google.com / referral,23,13,5,16,1,229.029999,0.6521739130434783,0.34782608695652173,203.8695652173913
yahoo / organic,214,131,41,154,18,4096.710003,0.6121495327102804,0.3878504672897196,202.30373831775702
yandex / organic,6,6,0,6,0,0,1,0,217.83333333333334
perplexity / (not set),0,0,0,0,0,0,0,0,0
copilot.com / (not set),0,0,0,0,0,0,0,0,0
copilot.microsoft.com / referral,6,4,2,5,1,129.929998,0.6666666666666666,0.3333333333333333,291.3333333333333
copilot.com / referral,0,0,0,0,0,0,0,0,0
l.meta.ai / referral,0,0,0,0,0,0,0,0,0
