# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Blog Guanabara
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Grupo principal de canais da sessão (Agrupamento de canais padrão),Origem / mídia da sessão,Sessões,Sessões engajadas,Novos usuários,Usuários recorrentes,Taxa de novos usuários,Taxa de rejeição,Taxa de engajamento,Tempo médio de engajamento por sessão
Paid Search,google / cpc,6833,2334,5538,850,0.9972987574284171,0.6584223620664422,0.3415776379335577,17.585979803892872
Organic Search,google / organic,4792,2266,4037,379,0.9943349753694581,0.5271285475792988,0.47287145242070117,25.695951585976626
Direct,(direct) / (none),1137,345,1061,40,1.0047348484848484,0.6965699208443272,0.3034300791556728,14.176781002638522
Organic Search,bing / organic,175,128,148,19,1.0136986301369864,0.26857142857142857,0.7314285714285714,61.95428571428572
Organic Search,br.search.yahoo.com / referral,51,39,46,5,0.9787234042553191,0.23529411764705882,0.7647058823529411,82.05882352941177
Cross-network,(data not available),48,34,47,1,1,0.2916666666666667,0.7083333333333334,20.916666666666668
Referral,linktr.ee / referral,47,18,47,0,1,0.6170212765957447,0.3829787234042553,9.595744680851064
Unassigned,chatgpt.com / (not set),23,5,23,0,1,0.782608695652174,0.21739130434782608,17.695652173913043
Unassigned,(not set),13,0,0,1,0,1,0,19.076923076923077
Organic Social,l.instagram.com / referral,11,3,11,0,1,0.7272727272727273,0.2727272727272727,6
Referral,chatgpt.com / referral,8,5,6,2,1,0.375,0.625,15.875
Organic Search,duckduckgo / organic,7,6,6,1,1,0.14285714285714285,0.8571428571428571,58.57142857142857
Organic Search,ecosia.org / organic,5,1,3,2,1,0.8,0.2,4.2
Organic Search,safe.duckduckgo.com / referral,3,0,1,1,1,1,0,0
Organic Search,search.google.com / referral,3,2,0,1,0,0.3333333333333333,0.6666666666666666,24
Organic Search,yahoo / organic,1,1,1,0,1,0,1,1366
Organic Social,facebook.com / referral,1,1,1,0,1,0,1,7
Organic Social,instagram.com / referral,1,0,1,0,1,1,0,0
Referral,docs.google.com / referral,1,1,1,0,1,0,1,36
Referral,interclip.clipsys.com.br / referral,1,1,1,0,1,0,1,15
Referral,statics.teams.cdn.office.net / referral,1,1,1,0,1,0,1,10
