# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: GRUPO GUANABARA | Sites
# Propriedade: Guanabara – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Grupo principal de canais da sessão (Grupo de Canais),Sessões,Total de usuários,Usuários recorrentes,Novos usuários,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Receita total,Eventos principais,Receita média diária,Contagem de eventos,Contagem de eventos por usuário ativo
Paid Search,15690083,7853114,2752835,7103237,13553945,0.863854257495005,161.13476627242827,233070766.914963,53852077,468013.5881826566,177033565,22.613760457360257
Organic Search,5394048,2589837,1557232,1167709,4131129,0.7658680456681142,102.97651318638619,67586352.130423,15087143,135715.5665269538,46088799,19.17349994342235
Direct,4743192,2076677,638661,1875079,3277512,0.6909929009831354,111.40236174289382,114597112.769994,9182399,225141.67538309234,37917539,18.73190736984382
Cross-network,2954957,1893986,525913,1555421,1925897,0.6517512775989633,86.64249259803104,20463343.969403,6225975,41091.05214739558,20863799,11.313418437839585
Mobile Push Notifications,1203017,415818,230032,91642,409461,0.34036177377377047,37.59557678736044,5093419.879839,1549720,10227.750762728916,4782318,16.03900485632261
Organic Social,459186,256580,90951,197850,351399,0.765265055990383,118.21992177461857,20023412.999348,897140,40207.65662519678,3498016,13.858413460586108
Paid,346772,230473,98041,155147,282972,0.8160174408545096,148.07838579816132,4565886.580105,1232193,415080.5981913636,5774115,26.088261871413724
Unassigned,258114,209794,95527,71996,118469,0.45897936570662573,141.8348481678638,6193866.109714,658856,12168.695696884086,2683974,14.620824526616259
Referral,141016,69623,29449,45134,99493,0.7055440517388097,124.6471109661315,2295109.669734,379141,4509.056325607073,1425416,21.1690205687978
Paid Social,129566,99393,12246,93995,51256,0.395597610484232,31.857424015559637,209616.67001,150056,505.1004096626506,576063,5.869987874094378
Orgânico,91015,56231,38136,16471,68022,0.7473713124210295,88.39129813766961,942068.499989,262481,85642.59090809092,1085682,21.359079283887468
Email,42469,25166,8065,18531,27270,0.6421154253690927,97.60083825849443,508089.549941,99715,1020.2601404437751,343545,13.972627811445072
CRM,33025,22115,6743,6305,9951,0.3013171839515519,42.801937925813775,439639.17998,57369,39967.19818,218336,17.89492664535694
Organic Video,11362,7497,3303,2933,6307,0.5550959338144693,62.054655870445345,29615.319969,22531,59.708306389112906,70349,11.98449744463373
Display,6023,3731,1444,1299,2105,0.34949360783662625,28.17997675576955,25177.90001,8772,70.3293296368715,25376,9.756247597078048
Social Orgânico,3769,2963,680,2513,3159,0.8381533563279384,145.8851154152295,39321.740013,12691,3574.7036375454545,63038,21.492669621547904
Paid Video,3572,2599,1505,490,2056,0.5755879059350504,29.825027995520717,14046.849995,6541,55.08568625490196,16200,8.282208588957054
Not set,1326,1200,782,241,332,0.25037707390648567,120.67269984917044,20564.229996,2985,1869.4754541818183,17208,14.695132365499573
Paid Other,1019,606,109,532,305,0.29931305201177627,2.973503434739941,163.95,1033,8.628947368421054,4566,8.1101243339254
Organic Shopping,191,109,41,88,105,0.5497382198952879,69.91099476439791,609.820003,375,5.167966127118644,1202,11.339622641509434
Affiliates,48,27,8,24,38,0.7916666666666666,136,932.569998,96,33.306071357142855,433,16.037037037037038
