Data,Cliques,Impressões,CTR,Posição
2025-01-29,3112,51627,6.03%,12.2
2025-01-30,3091,52708,5.86%,12.8
2025-01-31,3081,52875,5.83%,12.8
2025-02-01,2391,46361,5.16%,14.7
2025-02-02,2572,49980,5.15%,16.1
2025-02-03,3267,56529,5.78%,13.9
2025-02-04,3186,53226,5.99%,12.4
2025-02-05,3069,51954,5.91%,12.8
2025-02-06,2941,50311,5.85%,11.5
2025-02-07,2882,50397,5.72%,12.2
2025-02-08,2386,44701,5.34%,15.5
2025-02-09,2563,45520,5.63%,14.1
2025-02-10,3213,51283,6.27%,11.3
2025-02-11,3006,50462,5.96%,12.7
2025-02-12,2980,50556,5.89%,11.6
2025-02-13,3121,50601,6.17%,12.5
2025-02-14,2908,49040,5.93%,12.5
2025-02-15,2432,41755,5.82%,13.7
2025-02-16,2581,43508,5.93%,12.4
2025-02-17,3179,51009,6.23%,11.9
2025-02-18,3065,47923,6.4%,10.9
2025-02-19,3417,49095,6.96%,11.6
2025-02-20,3302,51752,6.38%,11.1
2025-02-21,3518,55099,6.38%,11.4
2025-02-22,2794,50428,5.54%,16.1
2025-02-23,2990,49091,6.09%,12.4
2025-02-24,4010,60012,6.68%,10.3
2025-02-25,3959,57638,6.87%,9.1
2025-02-26,3773,59320,6.36%,10.3
2025-02-27,3885,62352,6.23%,9.4
2025-02-28,3798,65073,5.84%,9.7
2025-03-01,2654,50724,5.23%,12
2025-03-02,2324,67752,3.43%,29.4
2025-03-03,2697,50590,5.33%,10.9
2025-03-04,2821,52161,5.41%,9.8
2025-03-05,3445,56117,6.14%,10.5
2025-03-06,3548,55422,6.4%,10.1
2025-03-07,3676,52120,7.05%,9.9
2025-03-08,2426,44779,5.42%,13.2
2025-03-09,2796,47431,5.89%,12
2025-03-10,3264,52972,6.16%,10.4
2025-03-11,3024,51893,5.83%,12
2025-03-12,3277,51426,6.37%,10.2
2025-03-13,3551,51286,6.92%,11.2
2025-03-14,3950,52265,7.56%,12.4
2025-03-15,3353,45713,7.33%,12.1
