País,Cliques,Impressões,CTR,Posição
Brasil,1153015,21206347,5.44%,6.61
Portugal,5395,30718,17.56%,22.27
Estados Unidos,4688,681817,0.69%,51.93
França,3081,33699,9.14%,38.4
Argentina,2375,34689,6.85%,44.05
Itália,2177,32811,6.63%,46.32
Alemanha,1625,38653,4.2%,50.97
Espanha,1571,26488,5.93%,43.97
Reino Unido,1275,106968,1.19%,53.66
Países Baixos,1112,15960,6.97%,47.85
Chile,865,13481,6.42%,44.3
Suíça,786,5636,13.95%,30.55
Canadá,751,42348,1.77%,52.5
Irlanda,613,11138,5.5%,46.86
Paraguai,533,9206,5.79%,36.17
Colômbia,521,21672,2.4%,51
Bélgica,488,4389,11.12%,37.86
Uruguai,470,6053,7.76%,41.78
Peru,422,12492,3.38%,48.59
Bolívia,367,4331,8.47%,38.98
México,338,44925,0.75%,56
Noruega,306,2428,12.6%,40.67
Austrália,259,11464,2.26%,53.56
Áustria,202,2865,7.05%,43.5
Suécia,183,5060,3.62%,49.63
Suriname,167,866,19.28%,21.92
Polônia,140,11912,1.18%,49.81
Japão,137,10217,1.34%,51.75
Dinamarca,125,2124,5.89%,45.37
Guiana Francesa,123,416,29.57%,9.82
Região desconhecida,114,6063,1.88%,49.19
Luxemburgo,107,582,18.38%,27.47
Equador,102,16161,0.63%,53.74
Angola,94,8900,1.06%,16.2
África do Sul,90,14986,0.6%,53.93
Turquia,85,21394,0.4%,53.59
Emirados Árabes Unidos,82,4609,1.78%,50.67
Israel,80,3456,2.31%,47.62
Rússia,78,89540,0.09%,56.86
Índia,76,83563,0.09%,53.87
Panamá,74,2156,3.43%,49.03
República Dominicana,69,6345,1.09%,52.61
Costa Rica,67,2601,2.58%,48.37
Moçambique,63,1814,3.47%,14.4
Marrocos,62,9611,0.65%,53.72
Arábia Saudita,55,10198,0.54%,54.12
Nova Zelândia,55,1699,3.24%,48.8
Finlândia,54,2018,2.68%,52.32
República Tcheca,53,3330,1.59%,53.07
Singapura,52,5378,0.97%,55.22
Coréia do Sul,49,51361,0.1%,55.05
Hong Kong,49,1632,3%,50.81
Malta,49,553,8.86%,37.29
Tailândia,47,5700,0.82%,51.28
Hungria,47,3067,1.53%,53.11
Venezuela,46,9246,0.5%,55.71
Grécia,46,4091,1.12%,54.07
China,46,837,5.5%,38.59
Cabo Verde,46,547,8.41%,36.1
Guatemala,45,2340,1.92%,48.78
Romênia,41,5134,0.8%,54.4
Martinica,34,150,22.67%,19.55
Ucrânia,30,16262,0.18%,55.59
Honduras,30,2111,1.42%,54.44
Guiana,26,1037,2.51%,52.05
Porto Rico,25,1624,1.54%,51.32
Andorra,23,163,14.11%,31.31
Bahamas,22,1926,1.14%,55.7
Vietnã,20,48209,0.04%,56.56
Catar,20,1044,1.92%,51.6
Cuba,20,205,9.76%,17.78
Indonésia,19,20960,0.09%,51.94
Egito,17,10956,0.16%,54.68
El Salvador,16,1458,1.1%,53.07
Camboja,16,879,1.82%,47.6
Filipinas,15,17839,0.08%,51.75
Malásia,14,12946,0.11%,53.97
Taiwan,14,11589,0.12%,56.06
Croácia,14,1326,1.06%,52.05
Guiné-Bissau,14,81,17.28%,6.53
São Pedro e Miquelon,14,32,43.75%,2.75
Bulgária,13,3715,0.35%,54.78
Nigéria,12,2012,0.6%,47.29
Senegal,12,1277,0.94%,54.14
Estônia,12,634,1.89%,51.45
Aruba,12,288,4.17%,50.67
Albânia,11,1819,0.6%,53.82
Sérvia,10,2551,0.39%,54.15
Quênia,9,3543,0.25%,54.77
Eslovênia,9,887,1.01%,53.33
Uzbequistão,8,4524,0.18%,56.26
Macedônia,8,721,1.11%,52.77
Curaçao,8,265,3.02%,51.03
Líbano,7,1094,0.64%,53.96
Zimbábue,7,257,2.72%,42.45
Islândia,7,238,2.94%,47.66
Guadalupe,7,136,5.15%,43.18
Paquistão,6,9639,0.06%,53.94
Argélia,6,5213,0.12%,50.91
Lituânia,6,3805,0.16%,55.74
Armênia,6,1017,0.59%,55.53
Nicarágua,6,869,0.69%,53.37
Guiné,6,69,8.7%,27.28
Liechtenstein,6,35,17.14%,35.23
San Marino,6,25,24%,23.12
Tunísia,5,4470,0.11%,56.16
Irã,5,3136,0.16%,55.04
Montenegro,5,277,1.81%,52.55
Kosovo,5,201,2.49%,47.26
São Tomé e Príncipe,5,47,10.64%,25.89
Djibouti,5,20,25%,26
República Centro-Africana,5,10,50%,2.9
Trinidad e Tobago,4,6026,0.07%,56.98
Bielorrússia,4,3911,0.1%,55.63
Barbados,4,3673,0.11%,57.81
Azerbaijão,4,2247,0.18%,55.48
Omã,4,1439,0.28%,54.8
Eslováquia,4,1397,0.29%,53.38
Costa do Marfim,4,771,0.52%,53.98
Gabão,4,433,0.92%,53.33
São Vicente e Granadinas,4,333,1.2%,59.29
Burkina Faso,4,265,1.51%,52.98
Reunião,4,163,2.45%,54.09
St. Martin,4,29,13.79%,43.62
Cazaquistão,3,4659,0.06%,55.79
Jamaica,3,4135,0.07%,56.76
Geórgia,3,1870,0.16%,54.05
Bósnia e Herzegovina,3,1842,0.16%,55.65
Letônia,3,1275,0.24%,54.27
Belize,3,826,0.36%,56.78
Bermudas,3,456,0.66%,55.17
Ilhas Maurício,3,435,0.69%,52.57
Madagascar,3,187,1.6%,47.39
Haiti,3,158,1.9%,46.58
Mônaco,3,19,15.79%,31.11
Bangladesh,2,11410,0.02%,53.52
Iraque,2,5187,0.04%,55.61
Nepal,2,3488,0.06%,54.35
Chipre,2,1937,0.1%,55.07
Kuwait,2,1551,0.13%,54.58
Etiópia,2,1164,0.17%,49.49
Palestina,2,1087,0.18%,52.03
Gana,2,871,0.23%,51.25
Granada,2,474,0.42%,56.53
Líbia,2,379,0.53%,58.16
Tanzânia,2,331,0.6%,44.94
Laos,2,217,0.92%,52.89
Sint Maarten,2,162,1.23%,51.07
Namíbia,2,161,1.24%,45.55
Camarões,2,144,1.39%,44.58
Jersey,2,144,1.39%,51.34
Ilhas Virgens Americanas,2,52,3.85%,49.08
Guam,2,41,4.88%,51.37
Nova Caledônia,2,27,7.41%,53.7
Jordânia,1,2595,0.04%,54.55
Moldávia,1,1756,0.06%,54.65
Sri Lanka,1,993,0.1%,50.56
Santa Lúcia,1,464,0.22%,55.05
Congo-Brazzaville,1,249,0.4%,54.47
Congo-Kinshasa,1,184,0.54%,44.21
Maldivas,1,162,0.62%,52.93
Benin,1,122,0.82%,45.58
Tajiquistão,1,117,0.85%,53.7
Serra Leoa,1,114,0.88%,56.28
Fiji,1,79,1.27%,43.92
Gibraltar,1,79,1.27%,57.1
Turcomenistão,1,55,1.82%,56.95
Libéria,1,28,3.57%,30.68
Antártida,1,6,16.67%,3.17
Ilhas Comores,1,4,25%,27.5
Vanuatu,1,4,25%,35.25
Barein,0,1326,0%,57
Quirguistão,0,1102,0%,57.16
Síria,0,844,0%,56.25
Mianmar (Birmânia),0,754,0%,55.97
Ilhas Cayman,0,453,0%,58.16
Mongólia,0,437,0%,51.2
Uganda,0,371,0%,49.22
São Cristóvão e Névis,0,370,0%,53.83
Seichelles,0,300,0%,53.16
Antígua e Barbuda,0,295,0%,58.26
Botsuana,0,247,0%,52.22
Brunei,0,243,0%,52.19
Togo,0,238,0%,54.17
Zâmbia,0,205,0%,48.91
Mali,0,194,0%,50.97
Ruanda,0,190,0%,50.15
Ilhas Virgens Britânicas,0,188,0%,55.14
Dominica,0,167,0%,57.34
Macau,0,160,0%,47.84
Somália,0,149,0%,49.21
Ilhas Turks e Caicos,0,145,0%,56.93
Ilha de Man,0,139,0%,55.95
Iêmen,0,137,0%,49.65
Malauí,0,102,0%,51.56
Afeganistão,0,88,0%,45.89
Saara Ocidental,0,75,0%,53.43
Anguila,0,73,0%,56.56
Mauritânia,0,68,0%,54.59
Suazilândia,0,57,0%,43.47
Sudão,0,56,0%,34.23
Gâmbia,0,52,0%,49.88
Lesoto,0,41,0%,53.17
