Páginas principais,Cliques,Impressões,CTR,Posição
https://viajeguanabara.com.br/,1162233,22734736,5.11%,10.35
https://viajeguanabara.com.br/?utm_source%3Dgoogle%26utm_medium%3Dmaps%26utm_campaign%3Dtickets,14384,193473,7.43%,1.46
https://viajeguanabara.com.br/realexpresso,3191,741215,0.43%,2.14
https://viajeguanabara.com.br/onibus/teresina-pi/fortaleza-ce,2409,433428,0.56%,3.7
https://viajeguanabara.com.br/?utm_source=google&utm_medium=maps&utm_campaign=tickets,2069,46286,4.47%,1.48
https://viajeguanabara.com.br/util,797,162429,0.49%,3.41
https://viajeguanabara.com.br/institucional,477,205946,0.23%,1.89
https://viajeguanabara.com.br/meus-bilhetes,280,69764,0.4%,1.41
https://viajeguanabara.com.br/servicos,133,59901,0.22%,1.31
https://viajeguanabara.com.br/onibus/sao-luis-ma/bacabal-ma,97,3601,2.69%,6.28
https://viajeguanabara.com.br/realexpresso?gad_source=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWpdAPgOoCSH3rHAC0qXfjQOWOOfgA0nDgQo83DwsmECmNLRl3QzVMMaAqckEALw_wcB,94,2793,3.37%,5.65
https://viajeguanabara.com.br/onibus/rio_de_janeiro-rj,61,12554,0.49%,6.58
https://viajeguanabara.com.br/page/encomendas,56,497,11.27%,3.34
https://viajeguanabara.com.br/onibus/sao_luis-ma/placas_urbano_santos-ma,44,426,10.33%,6
https://viajeguanabara.com.br/minhaconta/pedidos,38,484,7.85%,5.93
https://viajeguanabara.com.br/nossos-destinos,34,19690,0.17%,1.65
https://viajeguanabara.com.br/onibus/feira_de_santana-ba/caxias-ma,34,621,5.48%,3.76
https://viajeguanabara.com.br/nossos-destinos/,33,30590,0.11%,1.91
https://viajeguanabara.com.br/onibus/juiz_de_fora-mg/iguatu-ce,32,2198,1.46%,5.33
https://viajeguanabara.com.br/onibus/belagua-ma/urbano_santos-ma,30,416,7.21%,3.7
https://viajeguanabara.com.br/onibus/rio_de_janeiro-rj/belo_horizonte_(terminal_jk)-mg,28,2248,1.25%,11.47
https://viajeguanabara.com.br/onibus/brasilia-df-todos,27,6052,0.45%,3.1
https://viajeguanabara.com.br/onibus/piripiri-pi/piracuruca-pi,26,837,3.11%,5.73
https://viajeguanabara.com.br/onibus/juiz_de_fora-mg/quixada-ce,22,2563,0.86%,4.08
https://viajeguanabara.com.br/onibus/oliveira_de_fatima-to/bacabal-ma,22,1623,1.36%,3.81
https://viajeguanabara.com.br/faq?scrollTo=free,21,9113,0.23%,1.21
https://viajeguanabara.com.br/onibus/sao_luis-ma/sao_benedito_do_rio_preto-ma,21,265,7.92%,6.59
https://viajeguanabara.com.br/onibus/fortaleza_(aeroporto)-ce/acarau-ce,19,588,3.23%,6.92
https://viajeguanabara.com.br/onibus/tururu-ce/itapipoca_(praia_da_baleia)-ce,18,255,7.06%,7.12
https://viajeguanabara.com.br/servicos/,17,16493,0.1%,1.24
https://viajeguanabara.com.br/onibus/triangulo_de_marco-ce/camocim-ce,16,3089,0.52%,2.41
https://viajeguanabara.com.br/onibus/parnaiba-pi/camocim-ce,16,949,1.69%,8.55
https://viajeguanabara.com.br/page/termos-de-servico,15,634,2.37%,5.55
https://viajeguanabara.com.br/onibus/recife-pe,14,2434,0.58%,6.06
https://viajeguanabara.com.br/onibus/sao_jose_dos_campos-sp,14,1705,0.82%,8.11
https://viajeguanabara.com.br/login,12,2991,0.4%,2.08
https://viajeguanabara.com.br/onibus/goiana-pe/parnamirim-rn,12,940,1.28%,6.13
https://viajeguanabara.com.br/onibus/fortaleza-ce/recife-pe?idPassengerType=1&seats=1&passengers=1:1,12,814,1.47%,6.13
https://viajeguanabara.com.br/onibus/juiz_de_fora-mg/teresina-pi-todos,11,5661,0.19%,3.41
https://viajeguanabara.com.br/onibus/juiz_de_fora-mg/rio_de_janeiro_(largo_do_machado)-rj,11,1211,0.91%,7.61
https://viajeguanabara.com.br/onibus/uruacu-go/sao_luis-ma,11,1098,1%,5.1
https://viajeguanabara.com.br/onibus/brasilia-df-todos/uberlandia-mg?idPassengerType=1&seats=1&passengers=1:1,11,846,1.3%,29.96
https://viajeguanabara.com.br/onibus/miranorte-to/sousa-pb,11,482,2.28%,5.04
https://viajeguanabara.com.br/onibus/para_de_minas-mg/pombal-pb,11,471,2.34%,4.04
https://viajeguanabara.com.br/onibus/codo-ma,11,346,3.18%,5.77
https://viajeguanabara.com.br/onibus/redencao-pa/goiania-go-garagem,10,2364,0.42%,5.62
https://viajeguanabara.com.br/onibus/brasilia-df,10,2307,0.43%,4.85
https://viajeguanabara.com.br/onibus/juiz_de_fora-mg/piripiri-pi,10,929,1.08%,3.7
https://viajeguanabara.com.br/onibus/icarai_de_amontada-ce/fortaleza-ce-todos,10,149,6.71%,7.04
