Data,Páginas afetadas
2026-03-02,14
2026-03-03,15
2026-03-04,15
2026-03-05,15
2026-03-06,15
2026-03-07,16
2026-03-08,16
2026-03-09,16
2026-03-10,14
2026-03-11,14
2026-03-12,14
2026-03-13,14
2026-03-14,14
2026-03-15,13
2026-03-16,13
2026-03-17,11
2026-03-18,11
2026-03-19,11
2026-03-20,11
2026-03-21,10
2026-03-22,10
2026-03-23,10
2026-03-24,15
2026-03-25,15
2026-03-26,15
2026-03-27,15
2026-03-28,17
2026-03-29,17
2026-03-30,17
2026-03-31,21
2026-04-01,21
2026-04-02,21
2026-04-03,21
2026-04-04,23
2026-04-05,23
2026-04-06,15
2026-04-07,15
2026-04-08,15
2026-04-09,15
2026-04-10,16
2026-04-11,16
2026-04-12,16
2026-04-13,1823
2026-04-14,1823
2026-04-15,1823
2026-04-16,1823
2026-04-17,3134
2026-04-18,3134
2026-04-19,3134
2026-04-20,2278
2026-04-21,2278
2026-04-22,2278
2026-04-23,2278
2026-04-24,1862
2026-04-25,1862
2026-04-26,1862
2026-04-27,1821
2026-04-28,1821
2026-04-29,1821
2026-04-30,1821
2026-05-01,1773
2026-05-02,1773
2026-05-03,1773
2026-05-04,2376
2026-05-05,2376
2026-05-06,2376
2026-05-07,2376
2026-05-08,2432
2026-05-09,2432
2026-05-10,2432
2026-05-11,2629
2026-05-12,2629
2026-05-13,2629
2026-05-14,2629
2026-05-15,3375
2026-05-16,3375
2026-05-17,3375
2026-05-18,6767
2026-05-19,6767
2026-05-20,6767
2026-05-21,6767
