Data,Ruins,Melhorias necessárias,Bom
2026-02-25,3,0,0
2026-02-26,2,0,0
2026-02-27,2,0,0
2026-02-28,2,0,0
2026-03-01,2,0,0
2026-03-02,2,0,0
2026-03-03,2,0,0
2026-03-04,2,0,0
2026-03-05,1,0,0
2026-03-06,1,0,0
2026-03-07,1,0,0
2026-03-08,1,0,0
2026-03-09,2,0,0
2026-03-10,2,0,0
2026-03-11,2,0,0
2026-03-12,2,0,0
2026-03-13,2,0,0
2026-03-14,2,0,0
2026-03-15,2,0,0
2026-03-16,2,0,0
2026-03-17,2,0,0
2026-03-18,2,0,0
2026-03-19,2,0,0
2026-03-20,2,0,0
2026-03-21,2,0,0
2026-03-22,2,0,0
2026-03-23,2,0,0
2026-03-24,1,0,0
2026-03-25,2,0,0
2026-03-26,2,0,0
2026-03-27,2,0,0
2026-03-28,2,0,0
2026-03-29,2,0,0
2026-03-30,2,0,0
2026-03-31,2,0,0
2026-04-01,2,0,0
2026-04-02,2,0,0
2026-04-03,2,0,0
2026-04-04,2,0,0
2026-04-05,3,0,0
2026-04-06,3,0,0
2026-04-07,3,0,0
2026-04-08,2,0,0
2026-04-09,2,0,0
2026-04-10,2,0,0
2026-04-11,2,0,0
2026-04-12,2,0,0
2026-04-13,4,0,0
2026-04-14,4,0,0
2026-04-15,4,0,0
2026-04-16,1783,0,0
2026-04-17,3503,0,0
2026-04-18,3377,0,0
2026-04-19,2106,0,0
2026-04-20,724,0,0
2026-04-21,573,0,0
2026-04-22,421,0,0
2026-04-23,194,0,0
2026-04-24,150,0,0
2026-04-25,128,0,0
2026-04-26,122,0,0
2026-04-27,128,0,0
2026-04-28,123,0,0
2026-04-29,113,0,0
2026-04-30,85,0,0
2026-05-01,74,0,0
2026-05-02,59,0,0
2026-05-03,69,0,0
2026-05-04,79,0,0
2026-05-05,91,0,0
2026-05-06,82,0,0
2026-05-07,81,0,0
2026-05-08,303,0,0
2026-05-09,656,0,0
2026-05-10,910,0,0
2026-05-11,1064,0,0
2026-05-12,1074,0,0
2026-05-13,1061,0,0
2026-05-14,0,1106,0
2026-05-15,0,1148,0
2026-05-16,0,1180,0
2026-05-17,0,1592,0
2026-05-18,0,1558,0
2026-05-19,0,1579,0
2026-05-20,0,2351,0
2026-05-21,0,3725,0
2026-05-22,0,4308,0
2026-05-23,0,4646,0
2026-05-24,0,79456,0
