Data,Cliques,Impressões,CTR,Posição
2025-01-27,59,12797,0.46%,2.4
2025-01-28,76,11208,0.68%,2.4
2025-01-29,79,10590,0.75%,2.5
2025-01-30,57,10772,0.53%,2.6
2025-01-31,49,11327,0.43%,2.5
2025-02-01,43,7886,0.55%,3
2025-02-02,55,8447,0.65%,2.8
2025-02-03,52,9645,0.54%,2.8
2025-02-04,73,9876,0.74%,2.6
2025-02-05,71,10046,0.71%,2.6
2025-02-06,73,10639,0.69%,2.3
2025-02-07,73,10393,0.7%,2.4
2025-02-08,47,9108,0.52%,2.7
2025-02-09,63,9647,0.65%,2.5
2025-02-10,83,12012,0.69%,2.5
2025-02-11,78,10735,0.73%,2.5
2025-02-12,66,10443,0.63%,2.6
2025-02-13,79,10810,0.73%,2.6
2025-02-14,74,10645,0.7%,2.6
2025-02-15,64,8883,0.72%,2.7
2025-02-16,51,8621,0.59%,2.5
2025-02-17,76,8851,0.86%,2.8
2025-02-18,74,9891,0.75%,2.6
2025-02-19,82,9877,0.83%,2.8
2025-02-20,67,9605,0.7%,2.6
2025-02-21,73,10998,0.66%,2.5
2025-02-22,76,9586,0.79%,2.7
2025-02-23,65,9700,0.67%,3.4
2025-02-24,88,13396,0.66%,2.7
2025-02-25,80,14108,0.57%,2.5
2025-02-26,101,12308,0.82%,2.7
2025-02-27,97,11293,0.86%,3.1
2025-02-28,98,11205,0.87%,2.9
2025-03-01,80,5550,1.44%,4.2
2025-03-02,70,4585,1.53%,8.4
2025-03-03,56,5542,1.01%,5.1
2025-03-04,74,10378,0.71%,3.1
2025-03-05,85,12123,0.7%,3
2025-03-06,91,12665,0.72%,2.8
2025-03-07,82,13110,0.63%,2
2025-03-08,72,10683,0.67%,2.2
2025-03-09,80,11244,0.71%,2.2
2025-03-10,90,10421,0.86%,3.4
2025-03-11,82,11707,0.7%,3.5
2025-03-12,88,11769,0.75%,3.2
2025-03-13,84,9595,0.88%,3.6
2025-03-14,71,11872,0.6%,3
2025-03-15,57,10671,0.53%,2.9
2025-03-16,64,11167,0.57%,2.6
2025-03-17,71,11946,0.59%,2.6
2025-03-18,82,12354,0.66%,3.4
2025-03-19,93,10834,0.86%,2.7
2025-03-20,84,13504,0.62%,2.5
2025-03-21,96,13600,0.71%,2.4
2025-03-22,52,9217,0.56%,3.1
2025-03-23,80,12140,0.66%,2.9
2025-03-24,90,15118,0.6%,2.8
2025-03-25,101,13574,0.74%,2.7
2025-03-26,83,13881,0.6%,2.9
2025-03-27,82,13495,0.61%,2.9
2025-03-28,77,13045,0.59%,2.9
2025-03-29,64,11216,0.57%,2.5
2025-03-30,64,11897,0.54%,2.4
2025-03-31,111,12935,0.86%,2.5
2025-04-01,90,14936,0.6%,2.3
2025-04-02,106,16234,0.65%,2.5
2025-04-03,108,17135,0.63%,2.1
2025-04-04,117,17095,0.68%,2.2
2025-04-05,71,13811,0.51%,2.2
2025-04-06,87,15079,0.58%,2.4
2025-04-07,128,18481,0.69%,2.3
2025-04-08,91,17722,0.51%,2.3
2025-04-09,114,18253,0.62%,2.2
2025-04-10,108,18292,0.59%,2.3
2025-04-11,118,18378,0.64%,2.3
2025-04-12,71,15754,0.45%,2.3
2025-04-13,98,16705,0.59%,2.1
2025-04-14,123,23975,0.51%,1.9
2025-04-15,123,22940,0.54%,1.9
2025-04-16,101,23805,0.42%,1.8
2025-04-17,126,21362,0.59%,2
2025-04-18,91,14319,0.64%,2.3
2025-04-19,82,13373,0.61%,2.3
2025-04-20,99,16096,0.62%,2.1
2025-04-21,117,18741,0.62%,2.2
2025-04-22,124,16760,0.74%,2.3
2025-04-23,115,14357,0.8%,2.5
2025-04-24,103,13565,0.76%,2.6
2025-04-25,92,13909,0.66%,2.3
2025-04-26,95,11482,0.83%,2.6
2025-04-27,102,11880,0.86%,2.5
2025-04-28,123,15810,0.78%,2.4
2025-04-29,127,16052,0.79%,2.4
2025-04-30,106,16615,0.64%,2.3
2025-05-01,109,13245,0.82%,2.5
2025-05-02,75,13766,0.54%,2.7
2025-05-03,68,12494,0.54%,2.6
2025-05-04,78,15100,0.52%,2.3
2025-05-05,123,16393,0.75%,2.4
2025-05-06,94,15903,0.59%,2.4
2025-05-07,103,15118,0.68%,2.4
2025-05-08,87,15202,0.57%,2.3
2025-05-09,100,15567,0.64%,2.3
2025-05-10,68,11736,0.58%,2.8
2025-05-11,82,11957,0.69%,2.3
2025-05-12,108,13259,0.81%,2.6
2025-05-13,171,11680,1.46%,2.6
2025-05-14,105,13393,0.78%,2.3
2025-05-15,119,13347,0.89%,2.3
2025-05-16,101,13583,0.74%,2.3
2025-05-17,86,10529,0.82%,2.3
2025-05-18,80,11664,0.69%,2.4
2025-05-19,111,13342,0.83%,2.3
2025-05-20,108,13897,0.78%,2.6
2025-05-21,97,13413,0.72%,2.3
2025-05-22,112,13055,0.86%,2.5
2025-05-23,106,13018,0.81%,2.8
2025-05-24,76,10759,0.71%,2.8
2025-05-25,64,11436,0.56%,2.9
2025-05-26,108,14323,0.75%,2.7
2025-05-27,111,6293,1.76%,4.5
2025-05-28,85,4853,1.75%,5.8
2025-05-29,115,5940,1.94%,4.9
2025-05-30,121,13135,0.92%,3.1
2025-05-31,101,11055,0.91%,3
2025-06-01,105,12307,0.85%,3
2025-06-02,120,15206,0.79%,2.9
2025-06-03,136,15784,0.86%,2.9
2025-06-04,122,16755,0.73%,3.5
2025-06-05,133,15821,0.84%,2.6
2025-06-06,146,17099,0.85%,2.3
2025-06-07,106,13815,0.77%,2.4
2025-06-08,147,14438,1.02%,2.3
2025-06-09,180,18783,0.96%,2.3
2025-06-10,164,14942,1.1%,2.5
2025-06-11,115,13443,0.86%,2.7
2025-06-12,134,14048,0.95%,2.4
2025-06-13,103,14090,0.73%,2.7
2025-06-14,113,11759,0.96%,2.4
2025-06-15,123,13050,0.94%,2.4
2025-06-16,177,17294,1.02%,2.3
2025-06-17,130,15171,0.86%,2.4
2025-06-18,145,14737,0.98%,2.6
2025-06-19,112,12283,0.91%,2.6
2025-06-20,115,12325,0.93%,2.7
2025-06-21,110,13026,0.84%,3
2025-06-22,122,15416,0.79%,2.2
2025-06-23,119,15827,0.75%,2.7
2025-06-24,132,16137,0.82%,2.2
2025-06-25,144,14213,1.01%,2.5
2025-06-26,137,13753,1%,2.7
2025-06-27,111,13181,0.84%,2.6
2025-06-28,82,10648,0.77%,2.9
2025-06-29,103,11240,0.92%,3.7
2025-06-30,171,15598,1.1%,3.5
2025-07-01,160,13682,1.17%,4.1
2025-07-02,149,18100,0.82%,3.4
2025-07-03,164,18381,0.89%,3.7
2025-07-04,128,16521,0.77%,3.6
2025-07-05,92,13703,0.67%,3.6
2025-07-06,115,15473,0.74%,3.4
2025-07-07,175,21021,0.83%,3.4
2025-07-08,174,20503,0.85%,3.2
2025-07-09,177,20440,0.87%,3.3
2025-07-10,174,13731,1.27%,4.4
2025-07-11,142,12535,1.13%,4.5
2025-07-12,125,12163,1.03%,4.3
2025-07-13,110,14938,0.74%,3.8
2025-07-14,181,21271,0.85%,3.5
2025-07-15,151,14601,1.03%,3.7
2025-07-16,144,15521,0.93%,3.7
2025-07-17,154,12810,1.2%,4.1
2025-07-18,130,14050,0.93%,3.5
2025-07-19,106,13583,0.78%,3.4
2025-07-20,115,13640,0.84%,4
2025-07-21,169,17789,0.95%,3.6
2025-07-22,170,14700,1.16%,3.6
2025-07-23,143,13794,1.04%,4.1
2025-07-24,113,12093,0.93%,4.2
2025-07-25,105,12006,0.87%,5.7
2025-07-26,88,10986,0.8%,4.6
2025-07-27,99,11975,0.83%,3.7
2025-07-28,115,18146,0.63%,2.7
2025-07-29,94,16888,0.56%,2.7
2025-07-30,123,17506,0.7%,2.7
2025-07-31,119,17865,0.67%,2.7
2025-08-01,103,18469,0.56%,2.5
2025-08-02,81,11989,0.68%,3.4
2025-08-03,90,13279,0.68%,3
2025-08-04,111,17470,0.64%,3.1
2025-08-05,119,18691,0.64%,2.9
2025-08-06,115,18835,0.61%,2.5
2025-08-07,113,18576,0.61%,2.9
2025-08-08,107,16153,0.66%,2.6
2025-08-09,94,13437,0.7%,2.7
2025-08-10,82,14142,0.58%,2.4
2025-08-11,166,18843,0.88%,2.5
2025-08-12,138,18576,0.74%,2.4
2025-08-13,119,16849,0.71%,2.6
2025-08-14,112,15239,0.73%,2.7
2025-08-15,97,14073,0.69%,2.5
2025-08-16,90,10282,0.88%,2.8
2025-08-17,81,11806,0.69%,2.7
2025-08-18,125,13453,0.93%,3
2025-08-19,129,12214,1.06%,3.2
2025-08-20,107,13338,0.8%,2.6
2025-08-21,108,15100,0.72%,2.6
2025-08-22,100,16172,0.62%,2.4
2025-08-23,81,13606,0.6%,2.6
2025-08-24,93,14712,0.63%,4.7
2025-08-25,142,16947,0.84%,2.7
2025-08-26,135,15244,0.89%,2.8
2025-08-27,120,16820,0.71%,2.5
2025-08-28,123,17444,0.71%,2.5
2025-08-29,102,16790,0.61%,2.5
2025-08-30,77,14372,0.54%,2.6
2025-08-31,98,15654,0.63%,2.6
2025-09-01,147,19404,0.76%,2.7
2025-09-02,148,18956,0.78%,3
2025-09-03,137,17410,0.79%,2.9
2025-09-04,178,19299,0.92%,2.7
2025-09-05,153,21105,0.72%,2.4
2025-09-06,100,16011,0.62%,2.5
2025-09-07,107,16460,0.65%,2.6
2025-09-08,192,20292,0.95%,2.5
2025-09-09,170,17310,0.98%,2.7
2025-09-10,166,18681,0.89%,2.6
2025-09-11,170,19139,0.89%,2.5
2025-09-12,145,18095,0.8%,2.4
2025-09-13,121,14637,0.83%,2.4
2025-09-14,119,15618,0.76%,2.5
2025-09-15,193,19772,0.98%,2.5
