Data,Cliques,Impressões,CTR,Posição
2026-04-05,48,670,7.16%,4
2026-04-06,37,633,5.85%,3.9
2026-04-07,38,568,6.69%,4.2
2026-04-08,28,650,4.31%,3.9
2026-04-09,25,748,3.34%,4
2026-04-10,34,1239,2.74%,2.8
2026-04-11,21,1208,1.74%,2.4
2026-04-12,23,2195,1.05%,1.8
2026-04-13,30,2677,1.12%,1.8
2026-04-14,24,882,2.72%,3.6
2026-04-15,31,837,3.7%,3.6
2026-04-16,40,1360,2.94%,2.8
2026-04-17,67,9457,0.71%,2.1
2026-04-18,132,22008,0.6%,1.5
2026-04-19,142,20963,0.68%,1.6
2026-04-20,98,18124,0.54%,1.6
2026-04-21,85,16174,0.53%,2.2
2026-04-22,89,16825,0.53%,1.8
2026-04-23,79,15678,0.5%,1.8
2026-04-24,80,16872,0.47%,1.8
2026-04-25,85,12281,0.69%,1.9
2026-04-26,75,12947,0.58%,1.8
2026-04-27,104,14512,0.72%,1.7
2026-04-28,93,21539,0.43%,2.1
2026-04-29,133,24306,0.55%,2.5
2026-04-30,98,25295,0.39%,1.7
2026-05-01,113,21195,0.53%,2.5
2026-05-02,81,18203,0.44%,1.8
2026-05-03,107,20246,0.53%,1.8
2026-05-04,120,24744,0.48%,2
2026-05-05,112,22412,0.5%,2.4
2026-05-06,116,20834,0.56%,2.4
2026-05-07,117,20986,0.56%,2.1
2026-05-08,118,23812,0.5%,1.8
2026-05-09,101,17140,0.59%,2.1
2026-05-10,118,17177,0.69%,2.2
2026-05-11,133,21743,0.61%,1.9
2026-05-12,110,19664,0.56%,2
2026-05-13,253,23784,1.06%,1.6
2026-05-14,217,22397,0.97%,1.7
2026-05-15,241,21464,1.12%,1.7
2026-05-16,259,16614,1.56%,1.8
2026-05-17,241,17841,1.35%,2.3
2026-05-18,340,21372,1.59%,1.7
2026-05-19,77,15513,0.5%,1.8
2026-05-20,48,11583,0.41%,1.9
2026-05-21,59,13326,0.44%,2.1
2026-05-22,73,15002,0.49%,1.8
2026-05-23,59,12459,0.47%,1.9
2026-05-24,67,14813,0.45%,2.1
2026-05-25,49,16844,0.29%,1.8
2026-05-26,57,15842,0.36%,1.7
2026-05-27,7,1656,0.42%,1.7
