Data,Cliques,Impressões,CTR,Posição
2025-01-27,18,1081,1.67%,8.5
2025-01-28,7,1124,0.62%,8.9
2025-01-29,9,866,1.04%,8
2025-01-30,7,789,0.89%,9.9
2025-01-31,10,920,1.09%,7.8
2025-02-01,8,684,1.17%,9.7
2025-02-02,9,564,1.6%,13.3
2025-02-03,6,819,0.73%,9.1
2025-02-04,9,804,1.12%,9.4
2025-02-05,12,954,1.26%,8.1
2025-02-06,83,2604,3.19%,15.7
2025-02-07,101,3036,3.33%,14.9
2025-02-08,6,700,0.86%,8.5
2025-02-09,7,357,1.96%,10.7
2025-02-10,11,593,1.85%,8.8
2025-02-11,12,641,1.87%,7.9
2025-02-12,7,648,1.08%,8.8
2025-02-13,5,544,0.92%,9.9
2025-02-14,9,408,2.21%,10.9
2025-02-15,1,265,0.38%,11
2025-02-16,9,235,3.83%,10.5
2025-02-17,4,450,0.89%,7.5
2025-02-18,4,311,1.29%,9.2
2025-02-19,32,1148,2.79%,25.3
2025-02-20,4,321,1.25%,9
2025-02-21,6,422,1.42%,8.3
2025-02-22,1,303,0.33%,10
2025-02-23,9,377,2.39%,8.7
2025-02-24,5,909,0.55%,7.5
2025-02-25,7,930,0.75%,7.6
2025-02-26,9,606,1.49%,7.5
2025-02-27,6,524,1.15%,7.5
2025-02-28,6,597,1.01%,5.6
2025-03-01,1,333,0.3%,6.9
2025-03-02,0,367,0%,18.1
2025-03-03,4,301,1.33%,6.6
2025-03-04,2,675,0.3%,6.3
2025-03-05,7,984,0.71%,6
2025-03-06,4,484,0.83%,6.1
2025-03-07,3,385,0.78%,5.6
2025-03-08,0,254,0%,7.4
2025-03-09,6,260,2.31%,5.5
2025-03-10,7,503,1.39%,5.5
2025-03-11,2,508,0.39%,7.1
2025-03-12,9,425,2.12%,6.4
2025-03-13,8,485,1.65%,5.8
2025-03-14,3,385,0.78%,6.9
2025-03-15,3,267,1.12%,9
2025-03-16,0,338,0%,7.3
2025-03-17,6,538,1.12%,6.5
2025-03-18,6,489,1.23%,15.5
2025-03-19,1,405,0.25%,8.9
2025-03-20,6,381,1.57%,7
2025-03-21,7,367,1.91%,6.2
2025-03-22,3,283,1.06%,10.2
2025-03-23,7,305,2.3%,8.8
2025-03-24,6,417,1.44%,7.3
2025-03-25,3,316,0.95%,8
2025-03-26,2,350,0.57%,9
2025-03-27,6,402,1.49%,8.7
2025-03-28,4,414,0.97%,9.1
2025-03-29,3,317,0.95%,8.6
2025-03-30,1,281,0.36%,8.4
2025-03-31,3,463,0.65%,7
2025-04-01,6,898,0.67%,5
2025-04-02,9,1287,0.7%,5.2
2025-04-03,6,951,0.63%,4.3
2025-04-04,3,604,0.5%,5.2
2025-04-05,2,446,0.45%,5
2025-04-06,10,593,1.69%,3.8
2025-04-07,5,742,0.67%,3.6
2025-04-08,2,616,0.32%,4.2
2025-04-09,4,417,0.96%,7.2
2025-04-10,5,342,1.46%,6
2025-04-11,11,782,1.41%,3.5
2025-04-12,5,653,0.77%,3.6
2025-04-13,3,1028,0.29%,2.7
2025-04-14,5,1539,0.32%,2.6
2025-04-15,2,873,0.23%,3.8
2025-04-16,5,719,0.7%,4.8
2025-04-17,3,712,0.42%,6
2025-04-18,3,880,0.34%,6.2
2025-04-19,3,629,0.48%,4.5
2025-04-20,12,668,1.8%,4.8
2025-04-21,8,791,1.01%,6
2025-04-22,2,710,0.28%,4.5
2025-04-23,5,629,0.79%,5.9
2025-04-24,7,662,1.06%,6.6
2025-04-25,6,682,0.88%,5.7
2025-04-26,5,524,0.95%,5.8
2025-04-27,5,650,0.77%,5.6
2025-04-28,8,803,1%,6.3
2025-04-29,4,661,0.61%,7.5
2025-04-30,9,892,1.01%,7.5
2025-05-01,5,872,0.57%,5.1
2025-05-02,4,886,0.45%,4.2
2025-05-03,1,751,0.13%,5.1
2025-05-04,5,1003,0.5%,3.2
2025-05-05,14,1104,1.27%,3.6
2025-05-06,4,1176,0.34%,3.6
2025-05-07,4,535,0.75%,8.9
2025-05-08,5,637,0.78%,7.5
2025-05-09,8,476,1.68%,8.2
2025-05-10,4,659,0.61%,6.7
2025-05-11,2,812,0.25%,4.8
2025-05-12,3,691,0.43%,5.5
2025-05-13,5,485,1.03%,5.8
2025-05-14,6,813,0.74%,4.1
2025-05-15,4,1277,0.31%,3.7
2025-05-16,4,1237,0.32%,3.9
2025-05-17,7,1038,0.67%,3.4
2025-05-18,6,1200,0.5%,4.1
2025-05-19,4,1387,0.29%,3.9
2025-05-20,7,1369,0.51%,4.4
2025-05-21,3,1363,0.22%,2.9
2025-05-22,4,735,0.54%,4.5
2025-05-23,1,362,0.28%,6.1
2025-05-24,1,196,0.51%,9.3
2025-05-25,3,229,1.31%,7.9
2025-05-26,1,339,0.29%,8.3
2025-05-27,2,259,0.77%,8.2
2025-05-28,4,224,1.79%,11
2025-05-29,6,244,2.46%,10.2
2025-05-30,6,314,1.91%,8.2
2025-05-31,1,201,0.5%,9.4
2025-06-01,2,261,0.77%,9.5
2025-06-02,5,418,1.2%,5.4
2025-06-03,2,305,0.66%,6.6
2025-06-04,4,304,1.32%,10.1
2025-06-05,4,247,1.62%,6.3
2025-06-06,2,251,0.8%,8.3
2025-06-07,4,174,2.3%,7.9
2025-06-08,0,200,0%,7.2
2025-06-09,4,255,1.57%,8.1
2025-06-10,1,285,0.35%,4.4
2025-06-11,5,274,1.82%,4.8
2025-06-12,3,263,1.14%,5.3
2025-06-13,4,236,1.69%,4.2
2025-06-14,4,313,1.28%,2.8
2025-06-15,1,287,0.35%,3.9
2025-06-16,1,328,0.3%,4
2025-06-17,3,381,0.79%,3.3
2025-06-18,3,483,0.62%,2.2
2025-06-19,3,525,0.57%,4.5
2025-06-20,2,382,0.52%,4.3
2025-06-21,5,706,0.71%,3.5
2025-06-22,3,822,0.36%,2.8
2026-02-18,1,291,0.34%,2.5
2026-02-19,1,295,0.34%,2.7
2026-02-20,1,299,0.33%,2.9
2026-02-21,0,396,0%,2.6
2026-02-22,0,434,0%,2.6
2026-02-23,1,373,0.27%,2.5
2026-02-24,1,309,0.32%,3
2026-02-25,0,215,0%,2.7
2026-02-26,1,204,0.49%,2.9
2026-02-27,3,242,1.24%,2.7
2026-02-28,1,313,0.32%,2.9
2026-03-01,1,336,0.3%,2.5
2026-03-02,0,433,0%,2.5
2026-03-03,2,392,0.51%,2.4
2026-03-04,3,375,0.8%,2.4
2026-03-05,0,404,0%,2.5
2026-03-06,2,250,0.8%,2.2
2026-03-07,3,238,1.26%,3.4
2026-03-08,0,266,0%,2.3
2026-03-09,1,287,0.35%,2.7
2026-03-10,0,262,0%,2.8
2026-03-11,0,254,0%,2.8
2026-03-12,0,292,0%,2.7
2026-03-13,1,253,0.4%,3.2
2026-03-14,0,281,0%,2.3
2026-03-15,2,553,0.36%,3
2026-03-16,2,370,0.54%,2.6
2026-03-17,2,332,0.6%,2.9
2026-03-18,1,326,0.31%,3.6
2026-03-19,0,430,0%,3.1
2026-03-20,0,398,0%,3.1
2026-03-21,0,419,0%,3.1
2026-03-22,1,475,0.21%,3.4
2026-03-23,3,397,0.76%,3.6
2026-03-24,2,370,0.54%,3.1
2026-03-25,1,371,0.27%,3.6
2026-03-26,2,369,0.54%,4
2026-03-27,1,320,0.31%,3.5
2026-03-28,0,332,0%,3.3
2026-03-29,0,334,0%,3.7
2026-03-30,0,481,0%,3.8
2026-03-31,1,517,0.19%,3
2026-04-01,2,470,0.43%,3.4
2026-04-02,4,617,0.65%,2.9
2026-04-03,3,475,0.63%,3
2026-04-04,7,491,1.43%,2.4
2026-04-05,3,975,0.31%,2
2026-04-06,9,1467,0.61%,1.8
2026-04-07,13,1543,0.84%,1.5
2026-04-08,2,1074,0.19%,1.9
2026-04-09,8,2981,0.27%,1.3
2026-04-10,16,3398,0.47%,1.3
2026-04-11,6,624,0.96%,2.2
2026-04-12,10,672,1.49%,2.2
2026-04-13,10,529,1.89%,2.7
