Top consultas,Cliques,Impressões,CTR,Posição
cancelar passagem guanabara,2397,6362,37.68%,1.26
guanabara passagens,1408,433134,0.33%,1.16
viação guanabara,1232,183599,0.67%,1.04
remarcar passagem guanabara,1154,4428,26.06%,1.25
guanabara cancelar passagem,1146,2749,41.69%,1.25
guanabara id jovem,599,11035,5.43%,2.4
id jovem guanabara,590,9153,6.45%,2.06
guanabara passagem,581,226019,0.26%,1.3
reembolso guanabara,566,1918,29.51%,1.33
guanabara remarcar passagem,497,1870,26.58%,1.24
viaje guanabara,453,211152,0.21%,1.59
cancelamento passagem guanabara,435,825,52.73%,1.01
trocar passagem guanabara,422,2904,14.53%,1.3
guanabara trocar passagem,392,1780,22.02%,1.19
como cancelar passagem guanabara,347,2220,15.63%,1.28
cancelamento guanabara,347,663,52.34%,1.1
guanabara gratuidade,343,2378,14.42%,1.47
cancelamento de passagem guanabara,343,1017,33.73%,1.13
reembolso passagem guanabara,314,701,44.79%,1.14
passagens guanabara,301,96952,0.31%,1.39
gratuidade guanabara,287,1028,27.92%,1.31
passagem guanabara,279,107044,0.26%,1.43
viacao guanabara,258,43375,0.59%,1.04
curiosidades sobre salvador,234,3424,6.83%,4.66
expresso guanabara,232,55583,0.42%,1.06
guanabara ônibus,217,58133,0.37%,1.24
guanabara reembolso,206,747,27.58%,1.28
guanabara reembolso de passagem,200,841,23.78%,1.3
cancelar viagem guanabara,190,519,36.61%,1.02
guanabara cancelamento de passagem,187,438,42.69%,1.07
guanabara onibus,185,77438,0.24%,2.45
alterar passagem guanabara,174,615,28.29%,1.13
mudar passagem guanabara,174,566,30.74%,1.14
curiosidades sobre fortaleza,165,2186,7.55%,3.17
curiosidades sobre recife,163,2326,7.01%,3.84
como remarcar passagem guanabara,163,1531,10.65%,1.51
guanabara comprar passagem,160,28154,0.57%,1.39
guanabara passagem idoso,152,1287,11.81%,1.74
viagem guanabara,144,60352,0.24%,1.28
17 lugares baratos para viajar no nordeste,142,4051,3.51%,2.06
guanabara passagens tabela de preços,141,20628,0.68%,3.5
passe livre guanabara,140,912,15.35%,1.3
foto de ônibus,138,31783,0.43%,1.01
guanabara mudar passagem,134,455,29.45%,1.17
troca de passagem guanabara,133,973,13.67%,1.28
lençóis maranhenses,127,285880,0.04%,5.07
viação guanabara passagens,123,8121,1.51%,1.18
guanabara passagem online,122,11630,1.05%,2.3
guanabara troca de passagem,122,462,26.41%,1.2
comprar passagem guanabara,116,13682,0.85%,2.18
guanabara alterar passagem,116,455,25.49%,1.25
guanabara aceita id jovem,111,1884,5.89%,2.07
como trocar passagem guanabara,110,929,11.84%,1.2
passagem idoso guanabara,109,498,21.89%,1.49
politica de cancelamento guanabara,105,259,40.54%,1.1
guanabara passe livre,101,669,15.1%,1.3
remarcar passagem guanabara online,98,956,10.25%,1.31
viacao guanabara cancelar passagem,97,497,19.52%,1.1
guanabara viação,93,35241,0.26%,1.28
curiosidades de salvador,90,1681,5.35%,5.06
cupom de desconto guanabara,88,15113,0.58%,10.07
empresa guanabara,86,4699,1.83%,1.86
reembolso de passagem guanabara,86,203,42.36%,1.02
expresso guanabara passagens,85,8833,0.96%,1.11
remarcar viagem guanabara,84,297,28.28%,1.15
maior casa de show do brasil,82,757,10.83%,2.15
como cancelar passagem guanabara pela internet,79,407,19.41%,1.14
adiar passagem guanabara,79,353,22.38%,1.27
