Data,Cliques,Impressões,CTR,Posição
2025-01-26,148,7387,2%,8.6
2025-01-27,185,8120,2.28%,8.2
2025-01-28,171,6896,2.48%,8.5
2025-01-29,168,6446,2.61%,9.2
2025-01-30,166,6462,2.57%,9.5
2025-01-31,163,6053,2.69%,9.7
2025-02-01,159,5694,2.79%,10.5
2025-02-02,154,6400,2.41%,11.5
2025-02-03,146,6532,2.24%,10
2025-02-04,130,6266,2.07%,10.1
2025-02-05,136,6469,2.1%,9.3
2025-02-06,162,6326,2.56%,9.6
2025-02-07,150,6174,2.43%,9.3
2025-02-08,119,5291,2.25%,10.6
2025-02-09,143,5662,2.53%,9.4
2025-02-10,170,5863,2.9%,9.3
2025-02-11,132,5920,2.23%,9.2
2025-02-12,161,6134,2.62%,9.2
2025-02-13,160,6615,2.42%,9.8
2025-02-14,151,6711,2.25%,9.3
2025-02-15,130,5960,2.18%,9.6
2025-02-16,127,6767,1.88%,8.8
2025-02-17,173,6353,2.72%,8.9
2025-02-18,156,6507,2.4%,8.8
2025-02-19,163,6402,2.55%,8.7
2025-02-20,187,6547,2.86%,9.5
2025-02-21,169,6450,2.62%,9.4
2025-02-22,145,5669,2.56%,11.1
2025-02-23,176,6038,2.91%,9.5
2025-02-24,196,6773,2.89%,9.1
2025-02-25,188,6782,2.77%,9
2025-02-26,193,6731,2.87%,8.9
2025-02-27,216,7073,3.05%,9.4
2025-02-28,198,7210,2.75%,8.6
2025-03-01,157,5866,2.68%,9.8
2025-03-02,138,7141,1.93%,19.8
2025-03-03,132,6089,2.17%,9.9
2025-03-04,171,6432,2.66%,9.7
2025-03-05,166,6508,2.55%,9.9
2025-03-06,181,6313,2.87%,9.3
2025-03-07,205,6383,3.21%,9.4
2025-03-08,186,5782,3.22%,10
2025-03-09,193,6666,2.9%,10.4
2025-03-10,193,6395,3.02%,9.9
2025-03-11,228,6564,3.47%,10.8
2025-03-12,239,6814,3.51%,9.7
2025-03-13,196,6382,3.07%,9.8
2025-03-14,182,5683,3.2%,10.4
2025-03-15,152,5278,2.88%,10.2
2025-03-16,168,5621,2.99%,10.1
2025-03-17,209,5419,3.86%,9.6
2025-03-18,158,7384,2.14%,16.8
2025-03-19,186,5397,3.45%,12.1
2025-03-20,171,5231,3.27%,10.2
2025-03-21,187,5004,3.74%,10.9
2025-03-22,156,4459,3.5%,12
2025-03-23,172,4958,3.47%,11.2
2025-03-24,197,5641,3.49%,10.7
2025-03-25,205,5666,3.62%,11.2
2025-03-26,211,5321,3.97%,10.1
2025-03-27,200,5523,3.62%,10.5
2025-03-28,171,5697,3%,12.6
2025-03-29,140,5097,2.75%,11.7
2025-03-30,154,5525,2.79%,10
2025-03-31,179,5693,3.14%,10
2025-04-01,169,5919,2.86%,9.8
2025-04-02,213,8712,2.44%,17.2
2025-04-03,177,6866,2.58%,8
2025-04-04,166,7028,2.36%,12.3
2025-04-05,168,5707,2.94%,8.9
2025-04-06,172,6330,2.72%,9.1
2025-04-07,210,6403,3.28%,7.8
2025-04-08,207,7006,2.95%,7.3
2025-04-09,205,8376,2.45%,6.3
2025-04-10,200,8902,2.25%,7.4
2025-04-11,201,7411,2.71%,6.6
2025-04-12,134,6550,2.05%,8.7
2025-04-13,172,8047,2.14%,8.9
2025-04-14,210,8272,2.54%,7.8
2025-04-15,238,8221,2.9%,6.6
2025-04-16,222,11101,2%,4.7
2025-04-17,222,10984,2.02%,4.5
2025-04-18,176,9237,1.91%,5.6
2025-04-19,137,8555,1.6%,5.8
2025-04-20,176,9589,1.84%,5.8
2025-04-21,200,11616,1.72%,4.6
2025-04-22,158,10820,1.46%,4.9
2025-04-23,159,10428,1.52%,5.5
2025-04-24,149,10470,1.42%,6.1
2025-04-25,158,9819,1.61%,6
2025-04-26,111,8811,1.26%,6
2025-04-27,147,9672,1.52%,6.3
2025-04-28,195,10630,1.83%,6.1
2025-04-29,180,10468,1.72%,7.1
2025-04-30,185,9402,1.97%,6.8
2025-05-01,166,9289,1.79%,6.3
2025-05-02,152,10494,1.45%,6.7
2025-05-03,155,9209,1.68%,6.6
2025-05-04,159,9662,1.65%,6.8
2025-05-05,164,10053,1.63%,5.7
2025-05-06,152,9764,1.56%,6.5
2025-05-07,126,8970,1.4%,7.2
2025-05-08,147,8657,1.7%,6.2
2025-05-09,128,10037,1.28%,6.3
2025-05-10,108,7771,1.39%,6.5
2025-05-11,118,8018,1.47%,6.4
2025-05-12,143,9266,1.54%,6.8
2025-05-13,152,8546,1.78%,6.9
2025-05-14,118,8484,1.39%,8.2
2025-05-15,152,9857,1.54%,7.2
2025-05-16,160,9687,1.65%,8.7
2025-05-17,126,8003,1.57%,6.4
2025-05-18,160,8906,1.8%,6.3
2025-05-19,144,9468,1.52%,7.4
2025-05-20,119,10478,1.14%,10.3
2025-05-21,159,12818,1.24%,8.1
2025-05-22,130,11066,1.17%,8.4
2025-05-23,133,7486,1.78%,10.5
2025-05-24,116,7328,1.58%,11.7
2025-05-25,143,16566,0.86%,11.2
2025-05-26,161,9930,1.62%,10.3
2025-05-27,138,9010,1.53%,11.2
2025-05-28,144,7629,1.89%,11
2025-05-29,146,8390,1.74%,11.1
2025-05-30,143,9004,1.59%,10.5
2025-05-31,100,9319,1.07%,10.6
2025-06-01,139,10741,1.29%,10.4
2025-06-02,174,12284,1.42%,9.7
2025-06-03,168,11183,1.5%,9.8
2025-06-04,156,8317,1.88%,8.3
2025-06-05,159,8194,1.94%,8.4
2025-06-06,179,8076,2.22%,9.5
2025-06-07,135,6268,2.15%,11.5
2025-06-08,161,6644,2.42%,10
2025-06-09,210,7715,2.72%,10
2025-06-10,167,7568,2.21%,11.1
2025-06-11,168,8283,2.03%,9.4
2025-06-12,163,10621,1.53%,8.7
2025-06-13,165,9647,1.71%,7.2
2025-06-14,132,9591,1.38%,7.1
2025-06-15,149,9750,1.53%,7.2
2025-06-16,195,12030,1.62%,6.3
2025-06-17,176,10836,1.62%,7.1
2025-06-18,200,10155,1.97%,6.5
2025-06-19,167,10330,1.62%,6.9
2025-06-20,158,9998,1.58%,8
2025-06-21,161,9412,1.71%,9.4
2025-06-22,183,9672,1.89%,6.3
2025-06-23,155,10522,1.47%,7.9
2025-06-24,173,9571,1.81%,7.2
2025-06-25,156,9933,1.57%,6.9
2025-06-26,178,9620,1.85%,7.8
2025-06-27,157,8921,1.76%,7.8
2025-06-28,132,8232,1.6%,7.9
2025-06-29,173,8487,2.04%,8.5
2025-06-30,213,9417,2.26%,8.4
2025-07-01,211,8760,2.41%,7
2025-07-02,226,8595,2.63%,8.4
2025-07-03,174,8875,1.96%,8.2
2025-07-04,170,7758,2.19%,8.4
2025-07-05,154,6852,2.25%,8.3
2025-07-06,187,8295,2.25%,7.9
2025-07-07,234,8965,2.61%,8
2025-07-08,195,8517,2.29%,8.5
2025-07-09,205,9055,2.26%,9.2
2025-07-10,181,8040,2.25%,9.1
2025-07-11,213,7504,2.84%,6.6
2025-07-12,164,6271,2.62%,10.2
2025-07-13,184,6731,2.73%,8.6
2025-07-14,180,7413,2.43%,7.4
2025-07-15,194,7033,2.76%,8.3
2025-07-16,186,7446,2.5%,8.6
2025-07-17,189,7111,2.66%,8.4
2025-07-18,174,6536,2.66%,9.9
2025-07-19,157,6343,2.48%,9.7
2025-07-20,164,6866,2.39%,9.5
2025-07-21,189,7486,2.52%,8.5
2025-07-22,185,7804,2.37%,8.8
2025-07-23,163,7853,2.08%,11.3
2025-07-24,181,8108,2.23%,9.6
2025-07-25,170,8633,1.97%,13.4
2025-07-26,107,6021,1.78%,10.3
2025-07-27,150,7318,2.05%,9.1
2025-07-28,119,7651,1.56%,9
2025-07-29,131,7524,1.74%,9.1
2025-07-30,135,7733,1.75%,8.3
