País,Cliques,Impressões,CTR,Posição
Brasil,68307,5159200,1.32%,4.8
Portugal,137,14158,0.97%,9.62
Estados Unidos,116,115177,0.1%,18.75
França,46,4426,1.04%,22.24
Alemanha,32,4823,0.66%,27.16
Canadá,26,5016,0.52%,20.87
Reino Unido,25,9251,0.27%,31.34
Itália,23,4300,0.53%,22.74
Espanha,23,3478,0.66%,20.04
Argentina,21,3415,0.61%,23.41
Paraguai,18,1720,1.05%,10.15
Países Baixos,15,2582,0.58%,19.69
Suíça,12,1726,0.7%,10.32
Irlanda,10,1700,0.59%,17.62
Suécia,10,728,1.37%,20.65
Peru,9,1320,0.68%,16.56
Chile,8,1656,0.48%,15.7
Bélgica,8,1065,0.75%,12.01
Uruguai,8,947,0.84%,12.84
Austrália,5,1327,0.38%,24.52
Costa Rica,5,396,1.26%,14.97
Suriname,5,162,3.09%,7.78
Índia,4,5465,0.07%,33.26
México,4,2948,0.14%,27.51
Noruega,4,463,0.86%,11.35
Grécia,4,392,1.02%,27.53
Luxemburgo,4,247,1.62%,8.13
Colômbia,3,2113,0.14%,19.17
Moçambique,3,1056,0.28%,5.47
Angola,3,1035,0.29%,7.12
Emirados Árabes Unidos,3,558,0.54%,23.92
Áustria,3,518,0.58%,17.88
Israel,3,485,0.62%,18.76
República Tcheca,3,387,0.78%,22.91
Hungria,3,330,0.91%,24.97
Coréia do Sul,2,3182,0.06%,38.35
Japão,2,1811,0.11%,23.21
Polônia,2,1218,0.16%,23.94
África do Sul,2,1015,0.2%,33.52
República Dominicana,2,557,0.36%,23.85
Região desconhecida,2,406,0.49%,32.18
Guatemala,2,300,0.67%,16.63
Panamá,2,270,0.74%,16.45
Catar,2,96,2.08%,18.61
Costa do Marfim,2,82,2.44%,32.07
Martinica,2,25,8%,15.04
Liechtenstein,2,11,18.18%,9.09
Indonésia,1,1873,0.05%,30.59
Filipinas,1,1393,0.07%,31.04
Ucrânia,1,1077,0.09%,34.07
Singapura,1,745,0.13%,39.85
Bolívia,1,694,0.14%,11.65
Arábia Saudita,1,673,0.15%,34.06
Dinamarca,1,353,0.28%,16.3
Finlândia,1,297,0.34%,18.1
China,1,275,0.36%,11.35
Nova Zelândia,1,268,0.37%,17.03
Croácia,1,224,0.45%,14.43
Malta,1,211,0.47%,8.26
Sérvia,1,183,0.55%,31.78
Guiana,1,94,1.06%,24.31
Quirguistão,1,75,1.33%,36.2
Andorra,1,54,1.85%,11.2
Sint Maarten,1,21,4.76%,29
Rússia,0,5050,0%,43.17
Vietnã,0,4840,0%,43.76
Turquia,0,1809,0%,25.75
Equador,0,1224,0%,35.04
Malásia,0,1009,0%,35.03
Egito,0,858,0%,36.46
Bangladesh,0,834,0%,34.51
Taiwan,0,776,0%,36.02
Tailândia,0,726,0%,21.07
Marrocos,0,719,0%,31.06
Paquistão,0,653,0%,35.89
Venezuela,0,609,0%,32.74
Romênia,0,455,0%,29.04
Argélia,0,429,0%,31.21
Iraque,0,399,0%,37.11
Porto Rico,0,360,0%,12.75
Bulgária,0,351,0%,31.08
Tunísia,0,337,0%,37.38
Trinidad e Tobago,0,335,0%,42.75
Hong Kong,0,293,0%,24.53
Uzbequistão,0,283,0%,39.29
Lituânia,0,281,0%,37.07
Cazaquistão,0,271,0%,38.89
Quênia,0,262,0%,36.19
Nigéria,0,256,0%,21.77
Bielorrússia,0,243,0%,33.52
Barbados,0,235,0%,45.36
Nepal,0,234,0%,34.79
Irã,0,227,0%,30.04
Jamaica,0,224,0%,39.04
Jordânia,0,223,0%,29.67
Palestina,0,200,0%,15.99
Eslováquia,0,192,0%,23.56
Cabo Verde,0,189,0%,10.72
Azerbaijão,0,167,0%,35.19
Honduras,0,148,0%,26.94
Geórgia,0,148,0%,34.28
Chipre,0,144,0%,36.53
