# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Grupo principal de canais da sessão (Agrupamento de canais padrão),Origem / mídia da sessão,Sessões,Novos usuários,Usuários recorrentes,Taxa de engajamento,Tempo médio de engajamento por sessão,Receita total,Contagem de eventos,Eventos principais
Paid Social,facebook / cpc,475872,398537,27592,0.4974383867930872,57.33969638894493,0,3092872,230922
Direct,(direct) / (none),451950,193415,67341,0.7153755946454253,113.03189733377586,0,4648841,481827
Organic Search,google / organic,344639,100237,60534,0.7958153314047453,135.0943886211369,0,4070517,466342
Unassigned,viaje-guanabara / header,149699,76446,26480,0.789584432761742,136.03171029866598,0,1669292,173356
Email,bonifiq / email,122681,50577,23413,0.7161989224085229,105.19761006186778,0,1145750,123038
Mobile Push Notifications,pushnews / pushnotification,49966,27997,7173,0.2272545330824961,16.856342312772686,0,178683,3224
Email,BPE / email,47658,31358,6921,0.57746863066012,66.48023416845021,0,367036,25741
Referral,viajeguanabara.com.br / referral,45525,21317,8942,0.5713563975837452,69.34820428336079,0,365931,29140
Referral,mkt.viajeguanabara.com.br / referral,43216,19644,8971,0.7795723805997778,130.07714735283227,0,477904,51267
Paid Search,google / cpc,34416,14229,7016,0.837778940027894,160.76513830776383,0,446294,48985
Mobile Push Notifications,insider / apppush,25465,13052,4307,0.39560180640094245,43.08721774985274,0,144982,8419
Email,brevo / email,22953,12698,4032,0.678037729272862,104.47915305188864,0,205763,19605
Email,boas-vindas / e-mail,15912,6253,3749,0.701797385620915,99.34162895927602,0,149751,12559
Referral,linktr.ee / referral,14062,13153,718,0.8183757644716256,100.33771867444176,0,145934,19001
Email,zoho / email,13330,8843,1838,0.6102025506376594,86.1503375843961,0,108368,9837
Unassigned,viajeguanabara / lpviva,12805,7886,2139,0.7001171417415072,125.37204217102695,0,141036,13387
