# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/,1121131,106512,10.525865630163738,252.61326423313804,2180936,256502,0
(not set),/auth/verifyCpf,624199,43235,14.437353995605413,321.74936972360354,1258801,143530,0
(not set),/auth/password,285635,19165,14.903991651447951,305.290268719019,536977,62019,0
(not set),/auth/register,9575,495,19.343434343434343,625.8787878787879,14585,917,0
(not set),/checkout,8644,1117,7.738585496866607,242.401969561325,19806,3542,0
(not set),/myAccount,7262,2227,3.2608890884598116,43.21329142343961,14609,712,0
(not set),/checkout/orderStatus,7036,2613,2.6926903941829314,28.701109835438192,15375,784,0
(not set),/payment,2506,320,7.83125,185.565625,5341,839,0
(not set),/whoWeAre,1995,355,5.619718309859155,139.6056338028169,4081,344,0
(not set),/auth/newPassword,1935,345,5.608695652173913,91.3913043478261,3899,223,0
(not set),/selectTrip,1817,234,7.764957264957265,216.25213675213675,3854,729,0
(not set),/faq,1601,311,5.147909967845659,108.10932475884245,3310,198,0
Home - Viva Fidelidade,/,1361,953,1.428121720881427,5.315844700944386,5672,0,0
(not set),/auth/forgotPassword,1241,191,6.49738219895288,127.49738219895288,2350,154,0
(not set),/auth/forgotPassword?redefinicao=true,548,66,8.303030303030303,276.6212121212121,979,68,0
Central de Ajuda - Viva Fidelidade,/central-de-ajuda/,349,201,1.736318407960199,31.46766169154229,1257,0,0
(not set),/como-funciona/,286,36,7.944444444444445,308.5,511,58,0
(not set),/central-de-ajuda/,239,32,7.46875,304.84375,411,35,0
Como Funciona - Viva Fidelidade,/como-funciona/,173,143,1.2097902097902098,28.37062937062937,635,0,0
(not set),/referral,134,53,2.5283018867924527,64.50943396226415,248,10,0
(not set),/selectTrip?originCode=47299&origin=BRAGANCA%20PAULISTA%20-%20SP&destinationCode=37443&destination=OURO%20PRETO%20-%20MG&departureDate=2025-07-25,112,1,112,1188,253,10,0
