Top consultas,Cliques,Impressões,CTR,Posição
viva fidelidade,40,148333,0.03%,1.03
comida baiana,25,30648,0.08%,5.59
viva fidelidade guanabara,11,33305,0.03%,1
comidas típicas do norte,10,2622,0.38%,10.26
fotos criativas,8,3163,0.25%,1.1
comidas tipicas do norte,8,2574,0.31%,9.53
fotos divertidas,8,1788,0.45%,2.13
viva fidelidade.com.br,6,10248,0.06%,1.05
fotos criativas na praia,6,1335,0.45%,1.31
comidas tipícas da região norte do brasil,4,1423,0.28%,9.6
como tirar fotos engraçadas,4,798,0.5%,2.82
pratos tipicos do norte,4,553,0.72%,15.07
comidas do norte,3,1649,0.18%,13.21
comida tipica do norte,3,1354,0.22%,12.32
melhor são joão do nordeste,3,581,0.52%,11.04
pratos tipicos da região norte,3,240,1.25%,23.81
pratos típicos da região norte do brasil,3,227,1.32%,11.57
programa viva fidelidade,2,2605,0.08%,1
comida típica do norte,2,1495,0.13%,10.7
viva fidelidade util,2,1123,0.18%,1.06
comidas típicas da região norte,2,1023,0.2%,11.87
vivafidelidade.com.br,2,615,0.33%,1
comidas tipicas da regiao norte,2,509,0.39%,14.94
comida tipica norte,2,316,0.63%,12.87
comidas norte,2,153,1.31%,11.27
comidas típicas região norte,2,142,1.41%,9.94
pratos tipicos do norte do brasil,2,97,2.06%,11.82
como fazer fotos engraçadas,2,24,8.33%,1.75
melhores são joão de pernambuco,2,4,50%,2.75
guanabara onibus,1,34588,0%,10.88
viva guanabara,1,7195,0.01%,1.01
vivafidelidade,1,4753,0.02%,1
ararinha azul,1,4593,0.02%,4.57
fidelidade guanabara,1,4180,0.02%,1.03
comida bahiana,1,1479,0.07%,5.46
guanabara viva fidelidade,1,1470,0.07%,1.02
comida baiana completa,1,1266,0.08%,1.96
viva fidelidade.com.br guanabara,1,1191,0.08%,1.02
viva fidelidade entrar,1,769,0.13%,1
comida da bahia,1,702,0.14%,9.5
comida mineira,1,670,0.15%,46.41
viva fidelidade login,1,636,0.16%,2.01
comida típica de minas gerais,1,517,0.19%,13.24
viva fidelidade pontos,1,512,0.2%,1
viva pontos guanabara,1,434,0.23%,1
comidas da região norte,1,327,0.31%,28.1
comidas típicas da região norte do brasil,1,312,0.32%,11.68
viva fidelidade passagem,1,305,0.33%,1
site viva,1,297,0.34%,3.61
comidas típicas do norte do brasil,1,281,0.36%,11.17
culinaria da região norte,1,247,0.4%,53.17
comida tipica do norte do brasil,1,229,0.44%,13.71
comidas tipicas da região norte,1,207,0.48%,21.2
qual o melhor sao joao do nordeste,1,176,0.57%,10.09
norte comida tipica,1,166,0.6%,10.97
fidelidade viva,1,155,0.65%,1
melhor ônibus para viajar leito ou executivo,1,155,0.65%,11.15
semi leito ou executivo qual melhor,1,155,0.65%,11.38
gastronomia mineira,1,147,0.68%,70.39
o que é passagem convencional,1,141,0.71%,54.14
qual melhor onibus semi leito ou executivo,1,119,0.84%,11.3
comida tipicas do norte,1,114,0.88%,9.99
comidas tipicas regiao norte,1,101,0.99%,11.68
comidas tipicas da regiao norte do brasil,1,99,1.01%,11.64
fotos criativas praia,1,81,1.23%,2.46
viva fidelidade fale conosco,1,75,1.33%,2.65
região norte comida tipica,1,68,1.47%,14.4
pratos típicos do norte do brasil,1,56,1.79%,8.71
culinaria bahiana,1,51,1.96%,16.06
comidas tipicas região norte,1,49,2.04%,16.1
pontos viva fidelidade,1,40,2.5%,1
comidas tipicas da região norte do brasil,1,31,3.23%,8.84
semi leito ou convencional,1,17,5.88%,2.76
gastronomia do norte,1,15,6.67%,29.13
foto criativa na praia,1,13,7.69%,1
qual a diferença entre onibus convencional e semi leito,1,11,9.09%,35.91
porto de galinhas em julho,1,10,10%,1.2
semi leito onibus o que é,1,10,10%,45.2
pratos tipicos região norte,1,6,16.67%,13.5
qual a diferença onibus executivo e convencional,1,4,25%,8
ônibus convencional ou executivo,1,3,33.33%,8.33
onibus convencional ouro e prata,1,2,50%,2.5
sao joao mais famosos do brasil,1,1,100%,1
curiosidade da região norte,1,1,100%,3
mapa do estado de pernambuco com todas as cidades,1,1,100%,3
forró de caruaru,1,1,100%,12
programação do são joão de caruaru 2025,1,1,100%,13
efó receita,1,1,100%,54
guanabara,0,213147,0%,10.8
guanabara passagens,0,99365,0%,11.31
passagem guanabara,0,72753,0%,9.97
viva,0,65334,0%,10.7
guanabara passagem,0,62978,0%,10.86
fidelidade,0,32049,0%,11.39
guanabara util,0,14785,0%,10.8
passagens guanabara,0,14518,0%,9.93
util guanabara,0,13735,0%,11.73
guanabara ônibus,0,11294,0%,11.12
expresso guanabara,0,10772,0%,11.52
passagem de ônibus guanabara,0,8717,0%,10.44
guanabara viação,0,8137,0%,11.26
viagem guanabara,0,8036,0%,11.27
viação guanabara,0,7720,0%,11.78
onibus guanabara,0,7077,0%,11.35
site guanabara,0,5857,0%,10
viaje guanabara,0,3055,0%,11.26
guanabara comprar passagem,0,2594,0%,10.06
guanabara express,0,2552,0%,10.64
guanabara real expresso,0,2330,0%,11.27
passagem guanabara fortaleza,0,2316,0%,11.06
viva felicidade,0,2273,0%,1
guanabara expresso,0,2039,0%,11.63
guanabara fortaleza,0,1953,0%,11.3
comprar passagem guanabara,0,1899,0%,10.17
viação guanabara util,0,1581,0%,11.91
util passagem,0,1579,0%,10.16
comidas baiana,0,1571,0%,39.57
site da guanabara,0,1539,0%,9.43
viacao guanabara,0,1501,0%,11.03
guanabara viagem,0,1469,0%,10.86
guanabara oficial,0,1463,0%,10.29
guanabara passagem de ônibus,0,1414,0%,10.16
cupom guanabara,0,1391,0%,10.9
grupo guanabara,0,1315,0%,12.13
comidas baianas,0,1304,0%,9.21
ônibus guanabara,0,1237,0%,12.2
clube viva,0,1234,0%,8.97
clube viva pontos,0,1198,0%,9.89
util,0,1191,0%,11.84
real expresso,0,1140,0%,11.68
guanabara viagens,0,1135,0%,10.76
expresso guanabara passagens,0,1128,0%,10.53
real expresso guanabara,0,1105,0%,11.96
guanabara site,0,1034,0%,9.7
sampaio guanabara,0,1032,0%,10.63
clube viva guanabara,0,1030,0%,1
localizador guanabara,0,1025,0%,11.15
culinaria da regiao norte,0,1009,0%,54.56
util guanabara passagem,0,1007,0%,10.7
viva pontos,0,1004,0%,1.04
passagem de guanabara,0,993,0%,10.22
www.guanabara,0,965,0%,10.33
guanabra,0,965,0%,10.69
guanabara passagem online,0,956,0%,10.31
guanabara site oficial,0,941,0%,10.03
passagem do guanabara,0,931,0%,10.35
pontos guanabara,0,914,0%,1
útil guanabara,0,901,0%,12.53
guanabara rapido federal,0,893,0%,11.26
passagem util,0,870,0%,10.09
viagens guanabara,0,869,0%,11.07
util passagens,0,863,0%,10.14
guanabara sampaio,0,849,0%,10.49
passagem de onibus guanabara,0,832,0%,10.24
passagens de onibus guanabara,0,818,0%,10.09
rapido federal,0,798,0%,11.43
convencional onibus,0,768,0%,45.56
ônibus convencional,0,766,0%,46.79
gunabara,0,762,0%,10.8
util guanabara passagens,0,760,0%,10.96
comida tipica de minas gerais,0,734,0%,9.32
onibus convencional,0,725,0%,36.98
guanabara transporte,0,721,0%,11.29
guanabara ônibus passagem,0,718,0%,10.4
passagem da guanabara,0,715,0%,10.8
passagens de ônibus guanabara,0,714,0%,10.54
viação sampaio guanabara,0,710,0%,11.29
site guanabara oficial,0,677,0%,9.64
guanabara util passagem,0,654,0%,11.01
guanabara onibus passagem,0,645,0%,10.91
localizador passagem guanabara,0,635,0%,11.35
guanabara fidelidade,0,625,0%,1
guanabara passagem onibus,0,623,0%,9.97
comidas da bahia,0,622,0%,11.28
passagem.guanabara,0,616,0%,9.96
viação util,0,616,0%,11.59
culinária baiana,0,616,0%,32.94
viação util guanabara,0,610,0%,11.59
vivs,0,600,0%,10.69
expresso guanabara passagem,0,596,0%,10.02
comida típica da região norte,0,579,0%,12.12
guanabara transportes,0,574,0%,11.12
rapido federal guanabara,0,572,0%,10.96
guanabar,0,570,0%,10.79
sac guanabara,0,568,0%,10.14
o que é onibus convencional,0,563,0%,40.32
guanabara viacao,0,540,0%,10.86
cancelar passagem guanabara,0,533,0%,10.31
desconto guanabara,0,531,0%,10.1
comidas típicas de minas gerais,0,531,0%,30.36
guanabara util onibus,0,528,0%,11.62
guanabara id jovem,0,524,0%,11.85
passagem onibus guanabara,0,522,0%,10.21
convencional ônibus,0,510,0%,46.9
guanabara passagens onibus,0,503,0%,9.85
maior viagem de ônibus do mundo,0,497,0%,9.42
viva.,0,495,0%,10.88
onde fica o localizador da passagem guanabara,0,480,0%,11.79
viva +,0,475,0%,10.24
como cancelar passagem guanabara,0,471,0%,10.84
passagem expresso guanabara,0,469,0%,9.76
compra passagem guanabara,0,460,0%,10.53
guanabara empresa de ônibus,0,457,0%,11.21
guanabara passagens de ônibus,0,453,0%,10.21
passagem para fortaleza guanabara,0,451,0%,11.24
pontos viva,0,448,0%,1.68
guanabara bus,0,445,0%,9.79
site do guanabara,0,445,0%,10.19
site oficial guanabara,0,441,0%,9.42
o'que é um onibus semi leito,0,439,0%,69.8
comida tipica da bahia,0,433,0%,70.64
guanabara onibus passagens,0,431,0%,10.17
viação guanabara passagens,0,431,0%,10.52
acarajé,0,427,0%,1
guanabara telefone,0,425,0%,12.16
passagem de ônibus para fortaleza guanabara,0,424,0%,11.09
guanaba,0,416,0%,10.91
comida tipica mineira,0,414,0%,7.26
culinaria baiana,0,413,0%,31.13
gastronomia região norte,0,398,0%,43.77
culinária de minas gerais,0,395,0%,8.87
diferença entre ônibus convencional e executivo,0,394,0%,47.06
cupom guanabara onibus,0,390,0%,10.61
guanabara brisa,0,388,0%,10.39
poses engraçadas para foto,0,384,0%,1.56
viva viagens,0,384,0%,10.34
util onibus,0,384,0%,10.42
o'que é onibus semi leito,0,379,0%,76.63
ganabara,0,378,0%,10.74
ônibus leito ou executivo,0,378,0%,47.62
passagens guanabara fortaleza,0,377,0%,11.09
passagem no guanabara,0,376,0%,10.27
comidas tipicas de minas gerais,0,375,0%,23.74
guanara,0,371,0%,10.84
passagem na guanabara,0,366,0%,10.43
guanabara passagens online,0,363,0%,10.36
comidas tipicas norte,0,362,0%,10.88
comidas tipicas do norte do brasil,0,361,0%,10.54
expresso guanabara site oficial,0,350,0%,9.56
programa viva fidelidade guanabara,0,346,0%,1
bobo de camarão veja como fazer essa receita clássica da culinária baiana,0,344,0%,56.89
localizador de passagem guanabara,0,340,0%,11.12
passagens de guanabara,0,337,0%,9.87
cupom de desconto guanabara,0,337,0%,11.64
vivo fidelidade,0,336,0%,2.75
app guanabara,0,330,0%,10.63
guanabara cancelar passagem,0,328,0%,9.78
pratos típicos do norte,0,328,0%,11.92
melhor epoca para ir a maceio,0,328,0%,45.24
id jovem guanabara,0,327,0%,11.66
passagem guanabara onibus,0,326,0%,10.2
pontos viva guanabara,0,324,0%,1
guanabara app,0,324,0%,10.61
região norte gastronomia,0,321,0%,41
site guanabara ônibus,0,311,0%,9.67
culinária região norte,0,306,0%,51.92
www guanabara com br passagens,0,305,0%,10.08
qual é melhor executivo ou semi leito,0,304,0%,10.61
programa viva guanabara,0,303,0%,1
melhor epoca para ir a fortaleza,0,302,0%,51.18
comida baina,0,301,0%,6.49
guanabara pontos,0,296,0%,1.01
pontos de onibus,0,296,0%,11.29
real guanabara,0,295,0%,11.18
passagem de ônibus da guanabara,0,292,0%,10.63
passagem de guanabara para fortaleza,0,291,0%,11.19
executivo ou semi leito qual melhor,0,290,0%,10.46
comidas do norte do brasil,0,286,0%,10.95
regiao norte comidas,0,286,0%,18.49
compra de passagem guanabara,0,284,0%,10.09
diferença onibus convencional e executivo,0,283,0%,33.69
viação util site oficial,0,282,0%,10.61
guanbara,0,282,0%,10.77
melhores sao joao do nordeste,0,281,0%,13.05
venda de passagem guanabara,0,280,0%,11.36
programa fidelidade guanabara,0,278,0%,1
prato da cozinha baiana,0,278,0%,4.49
empresa guanabara,0,278,0%,12.96
guanabara sobral,0,277,0%,11.47
são joão no nordeste,0,276,0%,38.76
0800 guanabara,0,274,0%,10.25
viva!,0,273,0%,10.95
qual a diferença do onibus convencional para o executivo,0,273,0%,32.27
