Data,Cliques,Impressões,CTR,Posição
2025-01-26,1,4121,0.02%,10.9
2025-01-27,1,4758,0.02%,10
2025-01-28,1,5106,0.02%,9.8
2025-01-29,2,4705,0.04%,10.2
2025-01-30,1,4998,0.02%,10.6
2025-01-31,0,5057,0%,10.3
2025-02-01,0,4037,0%,10.5
2025-02-02,0,3830,0%,10.8
2025-02-03,2,3910,0.05%,10.3
2025-02-04,1,3865,0.03%,10
2025-02-05,1,4361,0.02%,10.6
2025-02-06,1,4418,0.02%,10.6
2025-02-07,2,4662,0.04%,10.4
2025-02-08,0,3966,0%,11.3
2025-02-09,2,4498,0.04%,11.1
2025-02-10,1,4810,0.02%,10.4
2025-02-11,1,5410,0.02%,10.7
2025-02-12,4,6845,0.06%,10.5
2025-02-13,0,6374,0%,10.5
2025-02-14,2,7473,0.03%,10.2
2025-02-15,1,6081,0.02%,10.5
2025-02-16,2,6317,0.03%,10.9
2025-02-17,4,6740,0.06%,10.4
2025-02-18,3,6197,0.05%,10.3
2025-02-19,1,7900,0.01%,10.2
2025-02-20,4,7359,0.05%,10.1
2025-02-21,1,7761,0.01%,10.5
2025-02-22,2,6448,0.03%,11
2025-02-23,1,4984,0.02%,10.7
2025-02-24,5,7388,0.07%,10.2
2025-02-25,3,7619,0.04%,10.1
2025-02-26,4,7532,0.05%,10.3
2025-02-27,1,7193,0.01%,10.5
2025-02-28,3,8862,0.03%,10.5
2025-03-01,2,8290,0.02%,10.6
2025-03-02,1,6810,0.01%,12.1
2025-03-03,1,5172,0.02%,10.3
2025-03-04,2,6078,0.03%,10.3
2025-03-05,1,6860,0.01%,10.1
2025-03-06,3,5989,0.05%,10.4
2025-03-07,5,6082,0.08%,10.2
2025-03-08,5,3815,0.13%,10.8
2025-03-09,5,5216,0.1%,10.6
2025-03-10,1,6783,0.01%,10.2
2025-03-11,7,5008,0.14%,10.1
2025-03-12,2,4814,0.04%,9.8
2025-03-13,3,6695,0.04%,10.1
2025-03-14,1,4986,0.02%,10.1
2025-03-15,2,3878,0.05%,10.6
2025-03-16,0,3473,0%,11
2025-03-17,4,5512,0.07%,10.5
2025-03-18,0,5064,0%,12.2
2025-03-19,1,5844,0.02%,10.6
2025-03-20,1,5598,0.02%,9.9
2025-03-21,4,4964,0.08%,10.2
2025-03-22,1,4556,0.02%,10.9
2025-03-23,1,4298,0.02%,10.8
2025-03-24,3,5448,0.06%,11.1
2025-03-25,2,4873,0.04%,10.9
2025-03-26,1,5587,0.02%,10
2025-03-27,1,5111,0.02%,10.1
2025-03-28,5,5145,0.1%,10.4
2025-03-29,0,4316,0%,11.1
2025-03-30,3,4380,0.07%,10.7
2025-03-31,0,5913,0%,10.5
2025-04-01,4,6487,0.06%,10.2
2025-04-02,1,5449,0.02%,11.8
2025-04-03,0,6381,0%,10.3
2025-04-04,0,6000,0%,10.5
2025-04-05,0,4876,0%,10.4
2025-04-06,1,5593,0.02%,10.4
2025-04-07,3,6340,0.05%,10.2
2025-04-08,1,6172,0.02%,10.2
2025-04-09,1,6060,0.02%,10.5
2025-04-10,0,5818,0%,10.3
2025-04-11,4,6305,0.06%,10.2
2025-04-12,1,4955,0.02%,10.9
2025-04-13,2,4433,0.05%,10.5
2025-04-14,5,7699,0.06%,10.3
2025-04-15,2,7353,0.03%,10
2025-04-16,4,6447,0.06%,10
2025-04-17,1,5186,0.02%,10.7
2025-04-18,2,3650,0.05%,11.2
2025-04-19,0,3724,0%,11
2025-04-20,3,4272,0.07%,10.8
2025-04-21,1,4650,0.02%,9.9
2025-04-22,1,4377,0.02%,10
2025-04-23,2,4289,0.05%,10.6
2025-04-24,0,3729,0%,10.8
2025-04-25,2,3105,0.06%,10.6
2025-04-26,1,2606,0.04%,10.6
2025-04-27,1,2411,0.04%,10.5
2025-04-28,1,3818,0.03%,10.5
2025-04-29,2,3801,0.05%,10.5
2025-04-30,2,3817,0.05%,10.7
2025-05-01,2,3202,0.06%,10.7
2025-05-02,1,3872,0.03%,10.7
2025-05-03,1,2680,0.04%,10.9
2025-05-04,1,2840,0.04%,10.8
2025-05-05,4,3690,0.11%,10
2025-05-06,0,3859,0%,10.2
2025-05-07,2,3696,0.05%,10.7
2025-05-08,1,2120,0.05%,10.7
2025-05-09,1,3706,0.03%,10.5
2025-05-10,1,3116,0.03%,11.1
2025-05-11,1,3061,0.03%,11.2
2025-05-12,4,4496,0.09%,10.5
2025-05-13,4,2430,0.16%,9.4
2025-05-14,1,2452,0.04%,9.8
2025-05-15,5,1729,0.29%,9.6
2025-05-16,4,939,0.43%,13.6
2025-05-17,3,699,0.43%,11.8
2025-05-18,3,852,0.35%,12.2
2025-05-19,2,1227,0.16%,10.2
2025-05-20,1,4640,0.02%,11.4
2025-05-21,4,4383,0.09%,10.9
2025-05-22,1,4580,0.02%,10.6
2025-05-23,2,5236,0.04%,10.7
2025-05-24,7,3870,0.18%,11.3
2025-05-25,4,4671,0.09%,11.1
2025-05-26,9,5088,0.18%,10.7
2025-05-27,3,5486,0.05%,10.4
2025-05-28,7,6640,0.11%,11
2025-05-29,4,6172,0.06%,11.1
2025-05-30,2,5308,0.04%,10.8
2025-05-31,2,4320,0.05%,11.4
2025-06-01,4,4490,0.09%,11.2
2025-06-02,16,6253,0.26%,10.5
2025-06-03,7,5175,0.14%,11.3
2025-06-04,9,4698,0.19%,10.9
2025-06-05,7,4306,0.16%,11
2025-06-06,3,4300,0.07%,11
2025-06-07,1,4597,0.02%,11.5
2025-06-08,7,4494,0.16%,11.6
2025-06-09,3,5050,0.06%,10.8
2025-06-10,2,5739,0.03%,11.8
2025-06-11,4,5931,0.07%,10.9
2025-06-12,4,4719,0.08%,11.6
2025-06-13,2,5043,0.04%,11.4
2025-06-14,7,4196,0.17%,11.8
2025-06-15,4,5464,0.07%,11
2025-06-16,3,6171,0.05%,10.4
2025-06-17,5,5659,0.09%,10.5
2025-06-18,6,5971,0.1%,11
2025-06-19,3,4894,0.06%,11
2025-06-20,6,3997,0.15%,10.7
2025-06-21,4,3421,0.12%,12.6
2025-06-22,8,4158,0.19%,10.8
2025-06-23,3,5533,0.05%,10.7
2025-06-24,5,4305,0.12%,9.9
2025-06-25,3,4605,0.07%,10.3
2025-06-26,2,4739,0.04%,11
2025-06-27,6,4305,0.14%,11
2025-06-28,2,3752,0.05%,11.1
2025-06-29,9,4562,0.2%,10.7
2025-06-30,1,5256,0.02%,10.7
2025-07-01,2,4733,0.04%,9.7
2025-07-02,0,4231,0%,10.1
2025-07-03,4,3915,0.1%,9.6
2025-07-04,1,4035,0.02%,10.8
2025-07-05,2,4103,0.05%,10.7
2025-07-06,0,3393,0%,10.2
2025-07-07,1,4896,0.02%,10.3
