País,Cliques,Impressões,CTR,Posição
Brasil,591,1369119,0.04%,9.4
Portugal,11,5837,0.19%,10.26
Estados Unidos,5,17143,0.03%,29.54
Itália,2,760,0.26%,29.23
Espanha,2,716,0.28%,25.29
França,2,712,0.28%,21.87
Suíça,2,237,0.84%,12.17
Uruguai,2,165,1.21%,17.18
Alemanha,1,1014,0.1%,31.18
Canadá,1,871,0.11%,30.18
Países Baixos,1,337,0.3%,23.68
Equador,1,268,0.37%,37.42
Egito,1,206,0.49%,33.98
Emirados Árabes Unidos,1,95,1.05%,29.69
República Dominicana,1,87,1.15%,32.64
Reino Unido,0,2105,0%,36.2
Vietnã,0,1296,0%,45.6
Rússia,0,1046,0%,41.1
Índia,0,1037,0%,39.18
Argentina,0,758,0%,24.06
México,0,607,0%,35.67
Austrália,0,582,0%,37.87
Angola,0,413,0%,13.49
Coréia do Sul,0,410,0%,38.63
Indonésia,0,335,0%,37.72
Colômbia,0,330,0%,31.51
Paraguai,0,306,0%,15.1
Japão,0,304,0%,27.76
Irlanda,0,299,0%,23.35
Chile,0,296,0%,21.79
Filipinas,0,258,0%,35.11
Turquia,0,257,0%,39.97
África do Sul,0,239,0%,39.36
Peru,0,231,0%,25.03
Ucrânia,0,200,0%,41.48
Moçambique,0,193,0%,6.56
Polônia,0,188,0%,33.35
Arábia Saudita,0,169,0%,37.81
Singapura,0,159,0%,40.1
Malásia,0,158,0%,43.97
Bangladesh,0,153,0%,34.28
Venezuela,0,149,0%,40.46
Bolívia,0,144,0%,18.08
Taiwan,0,139,0%,44.33
Bélgica,0,135,0%,11.81
Marrocos,0,131,0%,36.66
Paquistão,0,120,0%,37.95
Região desconhecida,0,112,0%,30.31
Noruega,0,103,0%,20.33
Trinidad e Tobago,0,96,0%,42.15
Tailândia,0,89,0%,37.4
Suécia,0,87,0%,25.37
Argélia,0,82,0%,36.04
Tunísia,0,82,0%,43.01
Romênia,0,79,0%,36.48
Iraque,0,78,0%,43.32
Israel,0,77,0%,33.56
Grécia,0,70,0%,35.5
Cazaquistão,0,70,0%,42.63
Uzbequistão,0,66,0%,41.91
Cabo Verde,0,61,0%,11.62
Nova Zelândia,0,59,0%,23.22
Bielorrússia,0,56,0%,40.02
Áustria,0,55,0%,28.11
Quênia,0,55,0%,40.71
República Tcheca,0,54,0%,27.89
Costa Rica,0,53,0%,29.4
Barbados,0,51,0%,41.88
Bulgária,0,49,0%,35.55
Nepal,0,49,0%,37.67
Dinamarca,0,47,0%,24.51
Irã,0,44,0%,28.05
Lituânia,0,44,0%,38.75
Finlândia,0,43,0%,31.81
Jamaica,0,43,0%,45.81
Hungria,0,42,0%,27.1
Hong Kong,0,39,0%,29.1
Panamá,0,39,0%,32.26
China,0,38,0%,15.37
Guatemala,0,38,0%,30.47
Azerbaijão,0,36,0%,45.86
Jordânia,0,33,0%,33.58
Bahamas,0,33,0%,45.24
Luxemburgo,0,31,0%,8.42
Porto Rico,0,30,0%,30.83
Sérvia,0,30,0%,40.73
Albânia,0,29,0%,39.59
Nigéria,0,27,0%,25.04
Honduras,0,25,0%,42.28
Senegal,0,24,0%,35.33
Etiópia,0,24,0%,38.38
Guiana,0,24,0%,38.92
Omã,0,24,0%,47.83
Chipre,0,23,0%,43.78
Bósnia e Herzegovina,0,23,0%,52.26
Eslovênia,0,22,0%,25.23
Armênia,0,22,0%,30.18
Palestina,0,21,0%,32.33
Barein,0,21,0%,36.29
Kuwait,0,21,0%,39.38
Moldávia,0,20,0%,37.25
Letônia,0,19,0%,45.42
Camboja,0,18,0%,23.61
Croácia,0,18,0%,28.22
Eslováquia,0,18,0%,52.11
El Salvador,0,17,0%,32.41
Geórgia,0,17,0%,37.94
Líbano,0,17,0%,46.76
Costa do Marfim,0,17,0%,47.88
Uganda,0,15,0%,36.27
Cuba,0,14,0%,7.43
Sri Lanka,0,14,0%,25
Quirguistão,0,14,0%,38
Catar,0,13,0%,23.92
Nicarágua,0,12,0%,21.58
Belize,0,12,0%,42.33
Guiné-Bissau,0,11,0%,7.91
Suriname,0,11,0%,13.64
Estônia,0,11,0%,40.55
Mianmar (Birmânia),0,11,0%,42.82
Malta,0,10,0%,13.1
Macau,0,10,0%,21.9
Gana,0,10,0%,46.9
Montenegro,0,9,0%,46.22
São Tomé e Príncipe,0,8,0%,12.88
Mongólia,0,8,0%,25
Gabão,0,8,0%,31.62
Haiti,0,8,0%,37.38
Santa Lúcia,0,7,0%,48.57
Guiana Francesa,0,6,0%,17
Bermudas,0,6,0%,26
Ilhas Cayman,0,6,0%,36.5
Granada,0,6,0%,43.33
São Vicente e Granadinas,0,6,0%,44.5
Macedônia,0,5,0%,33.2
Ilhas Maurício,0,5,0%,33.6
Síria,0,5,0%,33.6
Seichelles,0,5,0%,42.2
Tanzânia,0,4,0%,17.5
Guadalupe,0,4,0%,19.5
Benin,0,4,0%,22.75
Camarões,0,4,0%,24.75
Andorra,0,4,0%,35.25
Ruanda,0,4,0%,39.25
Laos,0,4,0%,48
Togo,0,4,0%,52.25
Aruba,0,3,0%,16
Kosovo,0,3,0%,20.33
Islândia,0,3,0%,21.67
Líbia,0,3,0%,29.33
Congo-Kinshasa,0,3,0%,32
Zimbábue,0,3,0%,37
Burkina Faso,0,3,0%,38.33
Mali,0,3,0%,44.33
Dominica,0,3,0%,44.67
Somália,0,3,0%,49
São Cristóvão e Névis,0,3,0%,50.33
Brunei,0,3,0%,50.67
Congo-Brazzaville,0,3,0%,52.33
Antígua e Barbuda,0,3,0%,54
Iêmen,0,2,0%,7
Malauí,0,2,0%,9
Lesoto,0,2,0%,10
Jersey,0,2,0%,10.5
São Pedro e Miquelon,0,2,0%,11.5
Timor-Leste,0,2,0%,11.5
Mauritânia,0,2,0%,21.5
Djibouti,0,2,0%,25
Curaçao,0,2,0%,31
Namíbia,0,2,0%,38
Tajiquistão,0,2,0%,38
Martinica,0,2,0%,39
Saara Ocidental,0,2,0%,44.5
Sint Maarten,0,2,0%,46
Anguila,0,2,0%,46.5
Gibraltar,0,1,0%,1
Gâmbia,0,1,0%,1
Serra Leoa,0,1,0%,1
Ilha Christmas,0,1,0%,6
Ilha de Man,0,1,0%,6
São Bartolomeu,0,1,0%,9
Liechtenstein,0,1,0%,9
Ilhas Virgens Americanas,0,1,0%,11
Maldivas,0,1,0%,15
Reunião,0,1,0%,23
Nova Caledônia,0,1,0%,31
Afeganistão,0,1,0%,33
Países Baixos Caribenhos,0,1,0%,40
Turcomenistão,0,1,0%,50
Guernsey,0,1,0%,51
Botsuana,0,1,0%,54
Ilhas Virgens Britânicas,0,1,0%,61
Ilhas Turks e Caicos,0,1,0%,74
