Data,Cliques,Impressões,CTR,Posição
2025-01-26,256,9188,2.79%,14.5
2025-01-27,490,10474,4.68%,13
2025-01-28,433,11062,3.91%,12.5
2025-01-29,463,9193,5.04%,14
2025-01-30,415,9077,4.57%,14.3
2025-01-31,407,9120,4.46%,14.1
2025-02-01,337,7850,4.29%,15.3
2025-02-02,343,8181,4.19%,17.6
2025-02-03,459,8860,5.18%,15
2025-02-04,482,7398,6.52%,14.3
2025-02-05,442,8409,5.26%,15
2025-02-06,478,7195,6.64%,16
2025-02-07,469,7521,6.24%,15.7
2025-02-08,287,6650,4.32%,17
2025-02-09,368,8019,4.59%,15.7
2025-02-10,492,7666,6.42%,15.7
2025-02-11,474,8731,5.43%,15
2025-02-12,516,11133,4.63%,13.5
2025-02-13,483,10681,4.52%,13.9
2025-02-14,449,13169,3.41%,13.1
2025-02-15,343,11040,3.11%,13.8
2025-02-16,413,11322,3.65%,13.9
2025-02-17,559,15516,3.6%,11.9
2025-02-18,527,12937,4.07%,12.6
2025-02-19,518,13715,3.78%,12.5
2025-02-20,478,12229,3.91%,13.4
2025-02-21,473,12469,3.79%,13.3
2025-02-22,319,10576,3.02%,15.3
2025-02-23,365,9042,4.04%,14.8
2025-02-24,566,12293,4.6%,12.9
2025-02-25,479,17077,2.8%,11.7
2025-02-26,451,14092,3.2%,12.7
2025-02-27,402,12657,3.18%,13.2
2025-02-28,314,16706,1.88%,12.3
2025-03-01,241,13839,1.74%,13.5
2025-03-02,244,14323,1.7%,22
2025-03-03,283,10996,2.57%,13.6
2025-03-04,320,11901,2.69%,13.3
2025-03-05,420,13649,3.08%,12.9
2025-03-06,437,10913,4%,14.2
2025-03-07,426,10193,4.18%,14.3
2025-03-08,352,7953,4.43%,16.6
2025-03-09,388,10319,3.76%,15.3
2025-03-10,505,12933,3.9%,13.7
2025-03-11,510,13369,3.81%,13.8
2025-03-12,504,14771,3.41%,12.3
2025-03-13,453,15653,2.89%,12.5
2025-03-14,389,14249,2.73%,12.3
2025-03-15,323,12575,2.57%,13.1
2025-03-16,337,10543,3.2%,14
2025-03-17,475,11710,4.06%,13.4
2025-03-18,477,16073,2.97%,17.4
2025-03-19,384,12848,2.99%,13.9
2025-03-20,615,11491,5.35%,13.7
2025-03-21,458,10666,4.29%,12.8
2025-03-22,310,9783,3.17%,14.6
2025-03-23,382,9762,3.91%,14.9
2025-03-24,483,10987,4.4%,14.9
2025-03-25,474,9777,4.85%,15.6
2025-03-26,507,11910,4.26%,13.7
2025-03-27,472,11241,4.2%,14.3
2025-03-28,405,10685,3.79%,15.4
2025-03-29,272,8934,3.04%,15.8
2025-03-30,360,10285,3.5%,13.9
2025-03-31,517,12111,4.27%,13.7
2025-04-01,481,15570,3.09%,12.3
2025-04-02,462,14804,3.12%,15.2
2025-04-03,447,15742,2.84%,12.4
2025-04-04,409,14375,2.85%,13.6
2025-04-05,339,13014,2.6%,13.9
2025-04-06,406,13705,2.96%,13.9
2025-04-07,506,15123,3.35%,13.2
2025-04-08,484,15094,3.21%,12.4
2025-04-09,474,16044,2.95%,13.1
2025-04-10,515,13923,3.7%,13.1
2025-04-11,478,14145,3.38%,13.1
2025-04-12,314,12097,2.6%,14
2025-04-13,468,12978,3.61%,13.9
2025-04-14,581,18173,3.2%,12.1
2025-04-15,479,18488,2.59%,12.1
2025-04-16,420,18438,2.28%,11.4
2025-04-17,360,15927,2.26%,12.6
2025-04-18,271,11133,2.43%,15.5
2025-04-19,270,10958,2.46%,14.9
2025-04-20,310,11794,2.63%,14.7
2025-04-21,446,13159,3.39%,13.9
2025-04-22,422,12323,3.42%,13.3
2025-04-23,453,10657,4.25%,14.6
2025-04-24,448,12081,3.71%,15.8
2025-04-25,470,10862,4.33%,15.1
2025-04-26,412,9424,4.37%,15.4
2025-04-27,457,10328,4.42%,17.1
2025-04-28,678,12954,5.23%,15.4
2025-04-29,597,13348,4.47%,15.5
2025-04-30,510,13547,3.76%,14.6
2025-05-01,375,11176,3.36%,15.2
2025-05-02,413,12765,3.24%,15.5
2025-05-03,368,9820,3.75%,17.2
2025-05-04,419,10854,3.86%,16.5
2025-05-05,584,12060,4.84%,16
2025-05-06,506,12920,3.92%,15.7
2025-05-07,529,12819,4.13%,15.5
2025-05-08,485,12133,4%,16.4
2025-05-09,443,12327,3.59%,15.5
2025-05-10,362,10645,3.4%,17
2025-05-11,331,12048,2.75%,17.4
2025-05-12,578,13482,4.29%,15.8
2025-05-13,636,6193,10.27%,20.3
2025-05-14,495,7353,6.73%,20.5
2025-05-15,488,6251,7.81%,22
2025-05-16,377,6616,5.7%,21.7
2025-05-17,304,11828,2.57%,16
2025-05-18,371,12611,2.94%,16.1
2025-05-19,523,15377,3.4%,14.5
2025-05-20,458,12966,3.53%,20.6
2025-05-21,508,11455,4.43%,17.4
2025-05-22,470,11679,4.02%,16.3
2025-05-23,407,12042,3.38%,16.9
2025-05-24,289,10123,2.85%,17.5
2025-05-25,388,11233,3.45%,18.1
2025-05-26,535,12064,4.43%,16.2
2025-05-27,464,9931,4.67%,17.8
2025-05-28,518,12281,4.22%,16.9
2025-05-29,447,12897,3.47%,16.2
2025-05-30,418,13042,3.21%,16.3
2025-05-31,351,11013,3.19%,17.2
2025-06-01,372,10883,3.42%,18.1
2025-06-02,507,13747,3.69%,15.8
2025-06-03,505,12017,4.2%,16.5
2025-06-04,533,12231,4.36%,16.7
2025-06-05,469,11295,4.15%,17.2
2025-06-06,429,10700,4.01%,17.3
2025-06-07,337,10378,3.25%,19.4
2025-06-08,399,9897,4.03%,19.6
2025-06-09,528,12304,4.29%,17.6
2025-06-10,481,15030,3.2%,16.3
2025-06-11,503,14366,3.5%,16.4
2025-06-12,451,12084,3.73%,17.6
2025-06-13,399,12976,3.07%,16.7
2025-06-14,364,10220,3.56%,18.7
2025-06-15,492,14209,3.46%,15.9
2025-06-16,655,16534,3.96%,14.7
2025-06-17,524,14826,3.53%,14.8
2025-06-18,503,15777,3.19%,14.2
2025-06-19,409,12920,3.17%,15.9
2025-06-20,406,11023,3.68%,16.7
2025-06-21,390,11068,3.52%,22.3
2025-06-22,446,11842,3.77%,16.2
2025-06-23,552,15609,3.54%,16
2025-06-24,621,12482,4.98%,15.1
2025-06-25,514,12508,4.11%,15.2
2025-06-26,495,13359,3.71%,15.2
2025-06-27,419,11386,3.68%,16.4
2025-06-28,359,8334,4.31%,20.3
2025-06-29,385,10393,3.7%,18.9
2025-06-30,597,11263,5.3%,18.8
2025-07-01,622,10297,6.04%,17.3
2025-07-02,580,9943,5.83%,17.6
2025-07-03,514,9754,5.27%,16.1
2025-07-04,422,9662,4.37%,17.1
2025-07-05,339,10218,3.32%,16.8
2025-07-06,419,9557,4.38%,18.2
2025-07-07,670,12140,5.52%,16.6
