País,Cliques,Impressões,CTR,Posição
Brasil,251921,5514788,4.57%,9.65
Estados Unidos,112,95519,0.12%,45.46
Portugal,85,15250,0.56%,20.9
França,19,5933,0.32%,40.91
Chile,17,1561,1.09%,36.96
Argentina,16,4695,0.34%,41.07
Espanha,14,5135,0.27%,43.84
Noruega,13,457,2.84%,37.41
Países Baixos,12,2340,0.51%,44.64
Paraguai,11,1509,0.73%,28.68
Canadá,10,5154,0.19%,46.5
Colômbia,10,2101,0.48%,45.22
Reino Unido,9,17657,0.05%,48.42
Alemanha,9,5876,0.15%,47.86
Itália,9,5325,0.17%,44.99
Região desconhecida,8,995,0.8%,45.69
Bolívia,7,827,0.85%,33.36
Uruguai,7,755,0.93%,35.2
Irlanda,6,1670,0.36%,42.77
Cabo Verde,6,182,3.3%,28.3
Índia,5,11404,0.04%,49.78
Suíça,5,1160,0.43%,34.23
Bélgica,5,672,0.74%,35.38
Austrália,4,1778,0.22%,46.36
Rússia,3,13967,0.02%,53.61
Indonésia,3,2733,0.11%,48.25
Arábia Saudita,3,1388,0.22%,49.51
Singapura,3,701,0.43%,51.9
Moçambique,3,521,0.58%,17.24
Costa Rica,3,289,1.04%,42.39
Polônia,2,2345,0.09%,44.78
África do Sul,2,2136,0.09%,50.38
Egito,2,1660,0.12%,49.16
Angola,2,1605,0.12%,27.28
Peru,2,1208,0.17%,37.87
Tailândia,2,782,0.26%,46.71
Hungria,2,432,0.46%,47.36
Malta,2,95,2.11%,38.97
México,1,4276,0.02%,49.18
Equador,1,2236,0.04%,48.68
Japão,1,1545,0.06%,47.48
Marrocos,1,1249,0.08%,49.72
Áustria,1,729,0.14%,54.45
República Dominicana,1,709,0.14%,43.89
Emirados Árabes Unidos,1,667,0.15%,45.05
Grécia,1,646,0.15%,47.83
Irã,1,524,0.19%,48.98
Azerbaijão,1,307,0.33%,52.14
Nova Zelândia,1,279,0.36%,41.64
Panamá,1,266,0.38%,45.8
Moldávia,1,263,0.38%,52.66
Guatemala,1,230,0.43%,43.04
Hong Kong,1,215,0.47%,44.83
Eslovênia,1,181,0.55%,49.71
Barein,1,176,0.57%,52.96
Armênia,1,175,0.57%,47.59
El Salvador,1,157,0.64%,49.34
Luxemburgo,1,99,1.01%,32.11
Cuba,1,47,2.13%,9.23
Aruba,1,33,3.03%,40.94
Coréia do Sul,0,8443,0%,52.6
Vietnã,0,6349,0%,52.27
Turquia,0,2890,0%,50.35
Filipinas,0,2486,0%,47.08
Ucrânia,0,2446,0%,51.37
Malásia,0,1828,0%,50.87
Taiwan,0,1765,0%,53.01
Bangladesh,0,1692,0%,49.51
Paquistão,0,1357,0%,49.82
Romênia,0,1279,0%,61.08
Venezuela,0,1062,0%,50.64
Suécia,0,823,0%,47.06
Trinidad e Tobago,0,817,0%,52.12
Argélia,0,724,0%,47.61
Iraque,0,724,0%,51.86
Uzbequistão,0,700,0%,55.61
Tunísia,0,653,0%,50.98
Bulgária,0,652,0%,53.32
Cazaquistão,0,643,0%,51.86
Lituânia,0,592,0%,51.23
Quênia,0,532,0%,51.17
Jamaica,0,524,0%,52.68
Bielorrússia,0,522,0%,49.9
Israel,0,507,0%,46.09
Nepal,0,505,0%,48.39
Barbados,0,465,0%,51.43
República Tcheca,0,448,0%,46.13
Finlândia,0,426,0%,53.62
Jordânia,0,408,0%,53.43
Sérvia,0,369,0%,55.28
Chipre,0,299,0%,50.64
Dinamarca,0,289,0%,42.23
Nigéria,0,280,0%,44.15
Eslováquia,0,247,0%,48.13
Albânia,0,245,0%,51.47
Bósnia e Herzegovina,0,242,0%,54.8
Bahamas,0,238,0%,51.38
Geórgia,0,235,0%,48.34
Kuwait,0,218,0%,51.86
Croácia,0,217,0%,50.24
Honduras,0,217,0%,57.66
Omã,0,197,0%,50.64
Etiópia,0,195,0%,41.87
Porto Rico,0,190,0%,47.63
Letônia,0,188,0%,49.88
Senegal,0,187,0%,47.31
Quirguistão,0,158,0%,54.24
Guiana,0,157,0%,47.19
Catar,0,153,0%,45.14
Sri Lanka,0,153,0%,46.02
Palestina,0,149,0%,47.59
Líbano,0,141,0%,51.88
Costa do Marfim,0,130,0%,50.91
China,0,128,0%,26.02
Mianmar (Birmânia),0,108,0%,48.51
Estônia,0,108,0%,50.69
Gana,0,107,0%,49.72
Macedônia,0,105,0%,51.49
Camboja,0,102,0%,40.04
Belize,0,100,0%,46.74
Síria,0,97,0%,49.59
Nicarágua,0,78,0%,48.28
Suriname,0,71,0%,22.82
Granada,0,66,0%,55.88
Gabão,0,65,0%,54.02
Uganda,0,60,0%,42.55
Seichelles,0,60,0%,58.27
Santa Lúcia,0,59,0%,49.63
Ilhas Cayman,0,59,0%,51.1
Ilhas Maurício,0,56,0%,46.27
Bermudas,0,53,0%,51.85
Macau,0,51,0%,32.39
Líbia,0,51,0%,55.88
Mongólia,0,48,0%,44.38
Tanzânia,0,47,0%,43.62
Islândia,0,47,0%,47.47
São Vicente e Granadinas,0,46,0%,56.17
São Cristóvão e Névis,0,45,0%,45.18
Burkina Faso,0,45,0%,49
Montenegro,0,41,0%,51.78
Brunei,0,39,0%,41.36
Botsuana,0,38,0%,62.95
Togo,0,35,0%,47.94
Congo-Brazzaville,0,35,0%,64.54
Namíbia,0,31,0%,45.74
Antígua e Barbuda,0,30,0%,51.5
Sint Maarten,0,29,0%,48.07
Madagascar,0,29,0%,50.97
Andorra,0,28,0%,32.18
Congo-Kinshasa,0,28,0%,33.93
Curaçao,0,28,0%,35.18
Camarões,0,28,0%,54.96
Mali,0,27,0%,46.04
Guiana Francesa,0,26,0%,14.77
Kosovo,0,26,0%,43.23
Laos,0,26,0%,46.69
Haiti,0,25,0%,47.84
