Páginas principais,Cliques,Impressões,CTR,Posição
https://www.vivafidelidade.com.br/,233983,5418749,4.32%,11.29
https://vivafidelidade.com.br/,12035,177700,6.77%,7.38
https://www.vivafidelidade.com.br/auth/verifyCpf,5459,1370182,0.4%,8.84
https://vivafidelidade.com.br/faq,649,356976,0.18%,1.25
https://www.vivafidelidade.com.br/whoWeAre,492,1375685,0.04%,8.06
https://vivaportal.vivafidelidade.com.br/documentos-juridicos/Regulamento_Viva_Fidelidade.pdf,458,347438,0.13%,1.27
https://blog.vivafidelidade.com.br/sao-joao-no-nordeste-descubra-as-5-melhores-cidades-para-celebrar-a-festa-junina/,252,18655,1.35%,12.38
https://ajuda.vivafidelidade.com.br/portal/pt-br/home,115,528499,0.02%,10.06
https://blog.vivafidelidade.com.br/5-comidas-tipicas-do-norte-do-brasil/,110,38996,0.28%,16.11
https://stage.vivafidelidade.com.br/,84,117630,0.07%,1.08
https://blog.vivafidelidade.com.br/,81,1212615,0.01%,8.74
https://blog.vivafidelidade.com.br/fotos-divertidas-para-tirar-em-pontos-turisticos/,50,13336,0.37%,2.64
https://vivafidelidade.com.br/auth/verifyCpf,44,3701,1.19%,3.93
https://blog.vivafidelidade.com.br/comida-baiana-veja-o-que-voce-precisa-experimentar/,34,49967,0.07%,10.75
https://vivafidelidade.com.br/?utm_source=instagram&utm_medium=bio&fbclid=PAAaYhzDSs2xb2usxgPSXpCS8RKvk4QE5SS68S6oRme7zSMSVh0PBrEh88QmU,34,8495,0.4%,1.08
https://blog.vivafidelidade.com.br/onibus-convencional-executivo-ou-semi-leito-qual-a-melhor-opcao-para-a-sua-viagem/,33,35159,0.09%,25.27
https://stage.vivafidelidade.com.br/whoWeAre,33,15553,0.21%,1.04
https://blog.vivafidelidade.com.br/tudo-que-voce-precisa-saber-antes-de-viajar-de-onibus/,22,41682,0.05%,1.7
https://ajuda.vivafidelidade.com.br/portal/pt-br/kb/viva-fidelidade,14,50897,0.03%,1.06
https://blog.vivafidelidade.com.br/dicas-para-arrumar-sua-mala-para-viagens-de-onibus/,10,1401,0.71%,13.92
https://blog.vivafidelidade.com.br/comida-mineira-que-voce-precisa-experimentar/,9,11611,0.08%,23.46
https://ajuda.vivafidelidade.com.br/portal/pt-br/newticket,8,28411,0.03%,1.02
https://vivaportal.vivafidelidade.com.br/documentos-juridicos/Política_de_Privacidade.pdf,7,18652,0.04%,1.21
